execution_date,symbol,shares,market_value_at_open
2021-05-06,SH600033,29400,72229.71625328064
2021-05-06,SH600035,26700,72144.52414512634
2021-05-06,SH600075,10300,72074.05786514282
2021-05-06,SH600089,6100,71686.9722366333
2021-05-06,SH600512,24200,72165.28549194336
2021-05-06,SH600618,8900,71881.59637451172
2021-05-06,SH600694,4000,72273.84948730469
2021-05-06,SH600750,7500,71569.39029693604
2021-05-06,SH601000,35000,72344.17915344238
2021-05-06,SH601126,11600,72095.78838348389
2021-05-06,SH601678,12300,71850.1015663147
2021-05-06,SH603685,6400,71635.2294921875
2021-05-06,SH603900,10200,72088.014793396
2021-05-06,SZ000848,11300,71961.57941818237
2021-05-06,SZ002022,4400,72103.89556884766
2021-05-06,SZ002154,21100,72113.40067386627
2021-05-06,SZ002382,3200,71826.16577148438
2021-05-06,SZ002406,12100,72146.9723701477
2021-05-06,SZ002664,5400,72312.75844573975
2021-05-06,SZ002763,8800,70644.68688964844
2021-06-01,SH600033,29700,75953.03063392639
2021-06-01,SH600035,27900,75905.68149089813
2021-06-01,SH600075,10800,75778.1587600708
2021-06-01,SH600089,6600,75093.44215393066
2021-06-01,SH600483,7800,75090.88897705078
2021-06-01,SH600512,24700,75838.4265422821
2021-06-01,SH600566,4200,75346.0636138916
2021-06-01,SH600694,4100,75701.73816680908
2021-06-01,SH601000,37400,75936.47990226746
2021-06-01,SH601126,12500,75969.3443775177
2021-06-01,SH601515,15500,75610.07571220398
2021-06-01,SH601678,11800,75431.19525909424
2021-06-01,SH603685,6400,75301.15356445312
2021-06-01,SZ002382,3700,74788.59157562256
2021-06-01,SZ002406,12900,75686.92789077759
2021-06-01,SZ002567,11200,75479.53262329102
2021-06-01,SZ002664,5600,74765.11306762695
2021-06-01,SZ002753,9100,75227.17638015747
2021-06-01,SZ300403,12000,75360.78071594238
2021-06-01,SZ300677,900,68945.05233764648
2021-07-01,SH600033,31400,78346.1256980896
2021-07-01,SH600075,12000,77932.66296386719
2021-07-01,SH600089,6200,77592.209815979
2021-07-01,SH600368,26500,78328.27186584473
2021-07-01,SH600512,25900,78246.61464691162
2021-07-01,SH600566,4400,76896.4469909668
2021-07-01,SH600618,8800,77689.31274414062
2021-07-01,SH600694,4300,76920.38688659668
2021-07-01,SH601000,39100,78401.8342256546
2021-07-01,SH603685,6500,78356.23741149902
