trial,lookbacks,top_k,active_sleeve,minimum_excess_horizons,minimum_dispersion_iqr,rank_buffer,maximum_pair_correlation,minimum_adv20,initial_cash,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio,average_active_exposure,maximum_active_exposure,gate_open_ratio,decision_count
grid_1422,63/126/252,4,0.4,2,0.1,3,0.95,20000000.0,1000000.0,3053,0.8391519482294203,0.05157924042142237,0.33968681151321156,0.40881832567343557,0.6259255724083199,0.15184351783235564,0.15102898137779266,91.05179894281314,7.5155759363212935,168388.04754915863,0.0058600706171507335,0.22979299112296686,1240,-0.27070626911957996,0.520799213887979,0.22979299112296686,0.46327085719936056,0.6111975116640747,643
grid_1423,63/126/252,4,0.4,2,0.15,1,0.85,20000000.0,1000000.0,3053,0.9766251743376935,0.057854931618837036,0.321417500073243,0.4788823700806042,0.7281901743943716,0.17999932052751746,0.13717817179806635,88.40408521522657,7.297028979442219,166090.6422230641,0.009597575657618512,0.13722018869082325,1231,-0.24941175009993033,0.5266950540452014,0.13722018869082325,0.47589318394387503,0.35769828926905134,643
grid_1424,63/126/252,4,0.4,2,0.15,1,0.9,20000000.0,1000000.0,3053,0.9798455691877854,0.05799708601224629,0.30522126873558275,0.47516447678103535,0.7251274617555055,0.19001652883662554,0.13908264201180376,86.32465492520996,7.125389138929875,162065.35308889407,0.01008220370649684,0.13797753911141675,1230,-0.23511952762701693,0.5257124140189977,0.13797753911141675,0.4584083420338794,0.35769828926905134,643
grid_1425,63/126/252,4,0.4,2,0.15,1,0.95,20000000.0,1000000.0,3053,0.7337219708914289,0.046467596654621746,0.3179509681705516,0.39170938643594955,0.5941730512621364,0.14614705192435878,0.1416830222168709,85.96180481292734,7.095438851247196,152826.49541764788,0.007727893986640883,0.13753766567638,1230,-0.2425519044747504,0.5244022273173927,0.13753766567638,0.44651407776746793,0.35769828926905134,643
grid_1426,63/126/252,4,0.4,2,0.15,2,0.85,20000000.0,1000000.0,3053,0.97464445005304,0.05776739308382872,0.31959371388118796,0.4789206099290273,0.7292248063754769,0.18075259485643172,0.13691733139391293,85.53839434351399,7.060489804967417,161623.467468362,0.009770815514781069,0.13739572139685444,1231,-0.24750268165045874,0.5266950540452014,0.13739572139685444,0.46937736675116387,0.35769828926905134,643
grid_1427,63/126/252,4,0.4,2,0.15,2,0.9,20000000.0,1000000.0,3053,0.9850490957791966,0.05822633193717164,0.30818224881482004,0.4770110976971158,0.7270666299057991,0.18893473638112934,0.1389651156878585,84.9243064853635,7.009801911009369,159051.09348238274,0.009829701888922862,0.13824958842149979,1230,-0.23878738043671965,0.5280052407468064,0.13824958842149979,0.45878809206675714,0.35769828926905134,643
grid_1428,63/126/252,4,0.4,2,0.15,2,0.95,20000000.0,1000000.0,3053,0.7914097496579962,0.04929875118945115,0.32068533697112733,0.412244247316595,0.6259301169328464,0.15372935867625817,0.14091493792478482,81.35099876272832,6.714854794696213,146743.53090328546,0.008549804595714493,0.13705222774885983,1231,-0.24558646212310442,0.5237471339665902,0.13705222774885983,0.452360609111153,0.35769828926905134,643
grid_1429,63/126/252,4,0.4,2,0.15,3,0.85,20000000.0,1000000.0,3053,0.888219559703266,0.05386713007675281,0.3240504898800417,0.45225317907158424,0.6871210980916741,0.16623067009308815,0.13678130799523036,83.899511445741,6.925213522543967,156269.60866164195,0.01011661121358733,0.13794645480765094,1231,-0.2520551307909781,0.5257124140189977,0.13794645480765094,0.45853214542952275,0.35769828926905134,643
grid_1430,63/126/252,4,0.4,2,0.15,3,0.9,20000000.0,1000000.0,3053,0.9264121908065799,0.05561050194367345,0.3180122261501589,0.45873178788934077,0.6967535389075604,0.17486906908231667,0.1391773575556045,81.9013084851403,6.760278328940503,152880.35546250895,0.009420524342609694,0.1381795371382693,1229,-0.2388959926753399,0.5273501473960039,0.1381795371382693,0.4616570297657778,0.35769828926905134,643
grid_1431,63/126/252,4,0.4,2,0.15,3,0.95,20000000.0,1000000.0,3053,0.7894168673125819,0.04920235023156194,0.31939560869374306,0.4110521649115343,0.6223934869799225,0.15404829901321626,0.14120385364092802,77.25617780793092,6.376861057189188,139637.74757356168,0.008597397933789667,0.13784920060696618,1229,-0.24643655999460223,0.5257124140189977,0.13784920060696618,0.4499971607518678,0.35769828926905134,643
