trade_date,symbol,active_net_pnl_contribution,active_return_contribution
2026-01-13,SH560860,90.89999999998999,4.4430230011510326e-05
2026-01-13,SH562800,0.0,0.0
2026-01-14,SH510300,0.0,0.0
2026-01-14,SH511010,0.0,0.0
2026-01-14,SH518880,0.0,0.0
2026-01-14,SZ159583,3072.0000000000027,0.0015120275728262907
2026-01-14,SH560860,2636.100000000012,0.001297479129143034
2026-01-14,SH562800,-2577.600000000002,-0.0012686856353245595
2026-01-15,SH510300,0.0,0.0
2026-01-15,SH511010,0.0,0.0
2026-01-15,SH518880,0.0,0.0
2026-01-15,SZ159583,-3225.6000000000195,-0.0015843710651657927
2026-01-15,SH560860,2454.299999999992,0.0012055189438356798
2026-01-15,SH562800,5155.200000000004,0.002532164470220316
2026-01-16,SH510300,0.0,0.0
2026-01-16,SH511010,0.0,0.0
2026-01-16,SH518880,0.0,0.0
2026-01-16,SZ159583,-1075.199999999984,-0.0005271363949591278
2026-01-16,SH560860,-545.4000000000005,-0.00026739228963049936
2026-01-16,SH562800,-2148.000000000002,-0.0010530961461795243
2026-01-19,SH510300,0.0,0.0
2026-01-19,SH511010,0.0,0.0
2026-01-19,SH518880,0.0,0.0
2026-01-19,SZ159583,-1996.7999999999847,-0.0009817265974080655
2026-01-19,SH560860,-818.0999999999906,-0.00040221881477340513
2026-01-19,SH562800,-721.4058000000003,-0.00035467911727987244
2026-01-19,SH561980,-2542.4759200000094,-0.0012500081299747444
2026-01-20,SH510300,0.0,0.0
2026-01-20,SH511010,0.0,0.0
2026-01-20,SH518880,0.0,0.0
2026-01-20,SZ159583,-7833.600000000024,-0.0038531205209735298
2026-01-20,SH560860,-454.50000000001046,-0.00022355536110887767
2026-01-20,SH561980,-2324.0000000000095,-0.0011431081610935576
2026-01-21,SH510300,0.0,0.0
2026-01-21,SH511010,0.0,0.0
2026-01-21,SH518880,0.0,0.0
2026-01-21,SZ159583,2457.600000000002,0.0012144540644945163
2026-01-21,SH560860,3545.100000000013,0.0017518559179848315
2026-01-21,SH561980,2058.400000000009,0.0010171843450339849
2026-01-22,SH510300,0.0,0.0
2026-01-22,SH511010,0.0,0.0
2026-01-22,SH518880,0.0,0.0
2026-01-22,SZ159583,5222.400000000005,0.002556961118088201
2026-01-22,SH560860,-636.3000000000109,-0.0003115415057137616
2026-01-22,SH561980,-3054.3999999999883,-0.0014954775656955735
2026-01-23,SH510300,0.0,0.0
2026-01-23,SH511010,0.0,0.0
2026-01-23,SH518880,0.0,0.0
2026-01-23,SZ159583,153.6000000000172,7.520899473963343e-05
2026-01-23,SH560860,4090.4999999999936,0.0020028801626460653
2026-01-23,SH561980,1859.2000000000016,0.0009103422071608786
2026-01-26,SH510300,0.0,0.0
2026-01-26,SH511010,0.0,0.0
2026-01-26,SH518880,0.0,0.0
2026-01-26,SZ159583,-5068.800000000021,-0.002466469098500332
2026-01-26,SH560860,10362.60000000001,0.0050424227983190215
2026-01-26,SH561980,-1473.5156000000086,-0.0007170100800106892
2026-01-26,SH562800,647.3555200000212,0.00031500204897089233
2026-01-27,SH510300,0.0,0.0
2026-01-27,SH511010,0.0,0.0
2026-01-27,SH518880,0.0,0.0
2026-01-27,SZ159583,5222.400000000005,0.00252233339959604
2026-01-27,SH560860,-2545.200000000002,-0.0012292897841321693
2026-01-27,SH562800,-3847.199999999983,-0.0018581343931766685
2026-01-28,SH510300,0.0,0.0
2026-01-28,SH511010,0.0,0.0
2026-01-28,SH518880,0.0,0.0
2026-01-28,SZ159583,-614.4000000000005,-0.000296903243006685
2026-01-28,SH560860,13544.100000000002,0.006545063824229881
2026-01-28,SH562800,7327.999999999965,0.003541189721277629
2026-01-29,SH510300,0.0,0.0
2026-01-29,SH511010,0.0,0.0
2026-01-29,SH518880,0.0,0.0
2026-01-29,SZ159583,-1689.5999999999844,-0.0008042842489448186
2026-01-29,SH560860,3454.199999999983,0.001644270035928743
2026-01-29,SH562800,-2198.4000000000024,-0.0010464834830020758
2026-01-30,SH510300,0.0,0.0
2026-01-30,SH511010,0.0,0.0
2026-01-30,SH518880,0.0,0.0
