entry_date,symbol,local_symbol,exit_date
2021-04-21,159839.XSHE,SZ159839,2021-04-29
2021-04-29,159967.XSHE,SZ159967,2021-04-30
2021-04-30,159839.XSHE,SZ159839,2021-05-07
2021-05-07,159980.XSHE,SZ159980,2021-05-17
2021-05-17,515120.XSHG,SH515120,2021-05-21
2021-05-21,159839.XSHE,SZ159839,2021-05-24
2021-05-24,159837.XSHE,SZ159837,2021-05-25
2021-05-25,512170.XSHG,SH512170,2021-05-26
2021-05-26,159839.XSHE,SZ159839,2021-05-28
2021-05-28,512170.XSHG,SH512170,2021-05-31
2021-05-31,159843.XSHE,SZ159843,2021-06-01
2021-06-01,515700.XSHG,SH515700,2021-06-03
2021-06-03,515030.XSHG,SH515030,2021-06-04
2021-06-04,518880.XSHG,SH518880,2021-06-07
2021-06-07,512670.XSHG,SH512670,2021-06-08
2021-06-08,518880.XSHG,SH518880,2021-06-09
2021-06-11,512760.XSHG,SH512760,2021-06-15
2021-06-16,513100.XSHG,SH513100,2021-06-24
2021-06-24,588080.XSHG,SH588080,2021-06-25
2021-06-25,516590.XSHG,SH516590,2021-07-01
2021-07-01,515790.XSHG,SH515790,2021-07-02
2021-07-02,516070.XSHG,SH516070,2021-07-05
2021-07-05,513100.XSHG,SH513100,2021-07-13
2021-07-13,516150.XSHG,SH516150,2021-07-14
2021-07-14,516960.XSHG,SH516960,2021-07-19
2021-07-19,513100.XSHG,SH513100,2021-07-20
2021-07-20,159985.XSHE,SZ159985,2021-07-22
2021-07-22,516360.XSHG,SH516360,2021-07-26
2021-07-26,159985.XSHE,SZ159985,2021-07-27
2021-07-27,159980.XSHE,SZ159980,2021-08-03
2021-08-03,510410.XSHG,SH510410,2021-08-04
2021-08-04,512670.XSHG,SH512670,2021-08-06
2021-08-06,512660.XSHG,SH512660,2021-08-11
2021-08-11,159861.XSHE,SZ159861,2021-08-16
2021-08-16,513500.XSHG,SH513500,2021-08-25
2021-08-25,512660.XSHG,SH512660,2021-08-26
2021-08-26,515220.XSHG,SH515220,2021-08-27
2021-08-27,513500.XSHG,SH513500,2021-08-31
2021-08-31,515210.XSHG,SH515210,2021-09-01
2021-09-01,513100.XSHG,SH513100,2021-09-07
2021-09-07,510410.XSHG,SH510410,2021-09-08
2021-09-08,510880.XSHG,SH510880,2021-09-09
2021-09-09,516780.XSHG,SH516780,2021-09-13
2021-09-13,516950.XSHG,SH516950,2021-09-14
2021-09-14,159881.XSHE,SZ159881,2021-09-15
2021-09-15,515110.XSHG,SH515110,2021-09-16
2021-09-16,513520.XSHG,SH513520,2021-09-23
2021-09-23,159980.XSHE,SZ159980,2021-09-27
2021-09-27,513520.XSHG,SH513520,2021-10-08
2021-10-11,516820.XSHG,SH516820,2021-10-12
2021-10-12,159865.XSHE,SZ159865,2021-10-13
2021-10-14,159928.XSHE,SZ159928,2021-10-19
2021-10-19,159865.XSHE,SZ159865,2021-10-25
2021-10-25,159928.XSHE,SZ159928,2021-10-27
2021-10-27,510630.XSHG,SH510630,2021-10-28
2021-10-28,159790.XSHE,SZ159790,2021-10-29
2021-11-01,159720.XSHE,SZ159720,2021-11-02
2021-11-02,516590.XSHG,SH516590,2021-11-05
2021-11-05,159720.XSHE,SZ159720,2021-11-12
2021-11-12,512670.XSHG,SH512670,2021-11-15
2021-11-15,512660.XSHG,SH512660,2021-11-17
2021-11-17,159786.XSHE,SZ159786,2021-11-19
2021-11-19,513100.XSHG,SH513100,2021-11-22
2021-11-22,159786.XSHE,SZ159786,2021-11-29
2021-11-29,516520.XSHG,SH516520,2021-12-01
2021-12-01,516780.XSHG,SH516780,2021-12-03
2021-12-06,562800.XSHG,SH562800,2021-12-07
2021-12-07,159985.XSHE,SZ159985,2021-12-09
2021-12-09,515210.XSHG,SH515210,2021-12-13
2021-12-13,512690.XSHG,SH512690,2021-12-20
2021-12-20,159985.XSHE,SZ159985,2022-01-04
2022-01-04,159855.XSHE,SZ159855,2022-01-05
2022-01-05,159985.XSHE,SZ159985,2022-01-12
2022-01-12,159980.XSHE,SZ159980,2022-01-19
2022-01-19,159981.XSHE,SZ159981,2022-01-20
2022-01-20,159980.XSHE,SZ159980,2022-02-10
2022-02-10,159985.XSHE,SZ159985,2022-02-17
2022-02-17,159766.XSHE,SZ159766,2022-02-18
