execution_date,symbol,shares,market_value_at_open
2021-01-04,SZ002124,79000,798252.0198822021
2021-01-04,SZ002322,75700,786116.3619995117
2021-01-04,SZ002381,107300,798951.3593196869
2021-01-04,SZ002724,112800,798686.8686676025
2021-01-04,SZ300552,17500,796480.5793762207
2021-01-04,SZ300625,58600,798273.8861083984
2021-02-01,SH600023,228800,754684.4310760498
2021-02-01,SH600028,234600,754546.8910217285
2021-02-01,SH600067,228900,754527.5846242905
2021-02-01,SH600261,252800,754665.1718139648
2021-02-01,SH600273,106900,754603.9922237396
2021-02-01,SH600368,285800,754709.0909481049
2021-02-01,SH600449,67300,754757.6365470886
2021-02-01,SH600720,65400,754548.5956192017
2021-02-01,SH603556,64400,754171.9074249268
2021-02-01,SH603886,55400,753908.3377838135
2021-02-01,SZ000069,122100,754236.2751960754
2021-02-01,SZ000883,226400,754664.32762146
2021-02-01,SZ000910,63100,753628.5039901733
2021-02-01,SZ002033,126600,754667.7268981934
2021-02-01,SZ002100,76400,754503.9169311523
2021-02-01,SZ002124,78700,754621.9318389893
2021-02-01,SZ002322,82200,754139.2347335815
2021-02-01,SZ002724,114400,754379.1683197021
2021-02-01,SZ300552,17500,685205.2021026611
2021-02-01,SZ300625,60700,754446.8932151794
2021-03-01,SH600023,244500,806299.0579605103
2021-03-01,SH600067,231800,818853.2916545868
2021-03-01,SH600261,260200,818762.0719432831
2021-03-01,SH600273,106100,818639.1249656677
2021-03-01,SH600368,292100,818748.7012147903
2021-03-01,SH600449,64800,818140.5395507812
2021-03-01,SH600720,60600,817986.6107940674
2021-03-01,SH603556,68300,818557.9549789429
2021-03-01,SH603886,58200,818301.9041061401
2021-03-01,SZ000883,239400,818804.182434082
2021-03-01,SZ000910,63600,818509.3082427979
2021-03-01,SZ002100,70600,818324.773979187
2021-03-01,SZ002322,82400,818396.3417053223
2021-03-01,SZ002381,96400,818495.3674316406
2021-03-01,SZ002432,111200,818747.1382141113
2021-03-01,SZ002724,123600,818611.4816665649
2021-03-01,SZ300259,204200,818875.8341789246
2021-03-01,SZ300462,53500,817738.6651039124
2021-03-01,SZ300552,24200,816699.5956420898
2021-03-01,SZ300625,62100,818677.1864891052
2021-04-01,SH600023,241300,888299.9155521393
2021-04-01,SH600261,265200,888631.8537712097
2021-04-01,SH600273,102800,887916.7453765869
2021-04-01,SH600390,148600,888617.3741340637
2021-04-01,SH600585,20400,884381.4468383789
2021-04-01,SH601000,402700,888535.8729839325
2021-04-01,SH601006,147000,888325.5887031555
2021-04-01,SH601163,56100,888014.6842002869
2021-04-01,SH603556,70200,887857.0466995239
2021-04-01,SH603886,59700,888318.7557220459
2021-04-01,SZ000581,42300,864702.7885437012
2021-04-01,SZ002100,88700,888319.2798614502
2021-04-01,SZ002322,84800,888420.8297729492
2021-04-01,SZ002382,49500,887313.3316040039
2021-04-01,SZ002432,116600,888517.451095581
2021-04-01,SZ002724,114600,887977.2654533386
2021-04-01,SZ300259,223600,888544.5462226868
2021-04-01,SZ300462,61500,888388.0677223206
2021-04-01,SZ300552,22700,885038.1408691406
2021-04-01,SZ300625,69200,888587.2074127197
2021-05-06,SH600033,353000,867247.9536533356
2021-05-06,SH600035,321000,867355.5150032043
2021-05-06,SH600075,123900,866987.938785553
2021-05-06,SH600089,73800,867294.8444366455
2021-05-06,SH600512,290800,867176.2405395508
2021-05-06,SH600618,107400,867425.1068115234
2021-05-06,SH600694,48000,867286.1938476562
2021-05-06,SH600750,90900,867421.0103988647
2021-05-06,SH601000,419600,867303.3592224121
2021-05-06,SH601126,139500,867014.0068531036
2021-05-06,SH601678,148500,867458.5433006287
2021-05-06,SH603685,77500,867457.857131958
2021-05-06,SH603900,122700,867176.4132499695
2021-05-06,SZ000848,136200,867359.921836853
2021-05-06,SZ002022,52900,866885.4717254639
2021-05-06,SZ002154,253800,867411.426115036
2021-05-06,SZ002382,38600,866403.1246185303
2021-05-06,SZ002406,145400,866956.1803817749
2021-05-06,SZ002531,94600,785835.7194900513
2021-05-06,SZ002664,64700,866413.9761924744
2021-06-01,SH600033,354100,905554.4830799103
2021-06-01,SH600035,332900,905698.97377491
2021-06-01,SH600075,129000,905128.0074119568
2021-06-01,SH600089,79600,905672.4235534668
2021-06-01,SH600483,94000,904941.4825439453
2021-06-01,SH600512,295000,905762.5842094421
2021-06-01,SH600566,50400,904152.7633666992
2021-06-01,SH600694,49000,904728.0902862549
2021-06-01,SH601000,446100,905755.7134866714
2021-06-01,SH601515,185600,905369.6807861328
2021-06-01,SH601678,141600,905174.3431091309
2021-06-01,SH603685,76900,904790.4232978821
2021-06-01,SZ002128,96200,905566.7572021484
2021-06-01,SZ002382,44800,905548.3520507812
2021-06-01,SZ002406,154300,905309.5328330994
2021-06-01,SZ002531,110300,905497.5758552551
2021-06-01,SZ002567,130300,878123.4911441803
2021-06-01,SZ002664,67800,905191.9046401978
2021-06-01,SZ002753,109500,905206.1333656311
2021-06-01,SZ300677,11800,903946.2417602539
2021-07-01,SH600033,367500,916949.0826129913
2021-07-01,SH600075,141200,917007.6675415039
2021-07-01,SH600089,73200,916088.6707305908
2021-07-01,SH600368,310200,916884.1484069824
2021-07-01,SH600512,303500,916905.3106307983
2021-07-01,SH600566,52400,915766.7778015137
2021-07-01,SH600618,103800,916380.7571411133
2021-07-01,SH600694,51200,915889.2578125
2021-07-01,SH601000,457300,916960.5829000473
2021-07-01,SH603685,76000,916165.2374267578
2021-07-01,SH603900,124700,902811.7384433746
2021-07-01,SZ002128,98900,917018.7514305115
2021-07-01,SZ002382,47200,915882.8125
2021-07-01,SZ002406,151100,916797.1057891846
2021-07-01,SZ002531,108400,916270.885848999
2021-07-01,SZ002567,137900,916917.1129226685
2021-07-01,SZ002753,103900,916368.1431770325
2021-07-01,SZ002763,102600,916539.5565032959
2021-07-01,SZ300443,34700,915092.705154419
2021-07-01,SZ300677,13500,913867.2523498535
2021-08-02,SH600012,183800,952741.9019699097
2021-08-02,SH600035,375600,952758.0170631409
2021-08-02,SH600075,123600,952765.7558441162
2021-08-02,SH600089,64400,952678.6109924316
2021-08-02,SH600512,313300,952840.8022165298
2021-08-02,SH600694,57300,952095.9903717041
2021-08-02,SH600707,109300,909181.0441970825
2021-08-02,SH601006,174700,952901.3512611389
2021-08-02,SH601678,124800,952574.0478515625
2021-08-02,SH603089,115700,952518.9063072205
2021-08-02,SH603900,133200,952718.4190750122
2021-08-02,SZ002022,70600,952849.4672775269
2021-08-02,SZ002035,142600,952689.1461372375
2021-08-02,SZ002128,101200,952448.7197875977
2021-08-02,SZ002382,47900,952587.3497009277
2021-08-02,SZ002406,161500,952750.9045600891
2021-08-02,SZ002606,144800,952752.4349212646
2021-08-02,SZ002753,103200,952220.8145141602
2021-08-02,SZ002763,118200,952733.6448669434
2021-08-02,SZ300677,14500,950525.7110595703
2021-09-01,SH600097,108300,1075323.2897758484
2021-09-01,SH600449,100100,1075432.4398994446
2021-09-01,SH600535,86600,1075198.9557266235
2021-09-01,SH600707,129600,1075762.9577636719
2021-09-01,SH600720,106700,1075145.9570884705
2021-09-01,SH601019,203300,1075579.33177948
2021-09-01,SZ000581,50300,1075951.2197494507
2021-09-01,SZ000612,113400,1075812.2262954712
2021-09-01,SZ000690,194800,1075583.39138031
2021-09-01,SZ000910,85700,1075264.245223999
2021-09-01,SZ000923,58600,1075821.8200683594
2021-09-01,SZ002233,104000,990403.7780761719
2021-09-01,SZ002270,161200,1076039.086151123
2021-09-01,SZ002382,56500,1075927.1955490112
2021-09-01,SZ002467,277500,1075922.770500183
2021-09-01,SZ002543,136400,1075959.8844528198
2021-09-01,SZ002763,124100,1075875.8805274963
2021-09-01,SZ002774,115500,1075850.2879142761
2021-09-01,SZ300443,32200,1072945.5078125
2021-09-01,SZ300677,19600,1072015.8630371094
2021-10-08,SH600097,98600,1102828.2529830933
2021-10-08,SH600449,104000,1103695.457458496
2021-10-08,SH600535,86900,1103602.2205352783
2021-10-08,SH600707,135400,1103324.6503829956
2021-10-08,SH600720,104900,1103512.9338264465
2021-10-08,SZ000581,57700,1103673.0688095093
2021-10-08,SZ000612,135600,1103382.1254730225
2021-10-08,SZ000690,162900,1103792.848777771
2021-10-08,SZ000725,225600,1103873.1994628906
2021-10-08,SZ000910,95800,1103548.435974121
2021-10-08,SZ000923,70700,1103063.7091636658
2021-10-08,SZ000949,183500,1103818.5377120972
2021-10-08,SZ002109,193500,1103847.084760666
