model,trade_date,cash,positions_value,total_value,daily_return,cash_ratio,holdings
b1,2017-05-22,15271.351861572166,1489561.5,1504832.8518615721,0.0008722190151504439,0.010148204727641712,SH513100;SH518880;SZ159915
b1,2017-05-23,15271.351861572166,1488349.2999999998,1503620.651861572,-0.0008055379695496301,0.010156386082264381,SH513100;SH518880;SZ159915
b1,2017-05-24,15271.351861572166,1488750.2999999998,1504021.651861572,0.0002666896065197655,0.01015367820182001,SH513100;SH518880;SZ159915
b1,2017-05-25,15271.351861572166,1494108.7,1509380.051861572,0.0035627146679491073,0.010117631966009797,SH513100;SH518880;SZ159915
b1,2017-05-26,15271.351861572166,1497278.5,1512549.8518615721,0.002100067505258707,0.010096428784001358,SH513100;SH518880;SZ159915
b1,2017-05-31,15271.351861572166,1495544.8,1510816.1518615722,-0.0011462101549024606,0.01010801469308848,SH513100;SH518880;SZ159915
b1,2017-06-01,15287.660130722168,1481974.7000000002,1497262.3601307224,-0.008971172113926174,0.010210408367834371,SH513100;SH518880;SZ159915
b1,2017-06-02,15287.660130722168,1493025.1,1508312.7601307223,0.00738040325747269,0.010135603526550567,SH513100;SH518880;SZ159915
b1,2017-06-05,15287.660130722168,1506625.5,1521913.1601307222,0.009016962767603554,0.01004502788411992,SH513100;SH518880;SZ159915
b1,2017-06-06,15287.660130722168,1507711.2000000002,1522998.8601307224,0.0007133784163526613,0.01003786708639427,SH513100;SH518880;SZ159915
b1,2017-06-07,15287.660130722168,1516493.3,1531780.9601307223,0.005766320796356972,0.009980317374761936,SH513100;SH518880;SZ159915
b1,2017-06-08,15287.660130722168,1512747.6,1528035.2601307223,-0.002445323513931341,0.010004782304182117,SH513100;SH518880;SZ159915
b1,2017-06-09,15287.660130722168,1509924.0,1525211.6601307222,-0.0018478631178697746,0.010023303997959141,SH513100;SH518880;SZ159915
b1,2017-06-12,15287.660130722168,1495186.0,1510473.6601307222,-0.009662921144162229,0.010121103422219965,SH513100;SH518880;SZ159915
b1,2017-06-13,15287.660130722168,1498010.5,1513298.1601307222,0.0018699432334063903,0.010102212857644382,SH513100;SH518880;SZ159915
b1,2017-06-14,15287.660130722168,1498142.2,1513429.8601307222,8.70284544511879e-05,0.01010133375417986,SH513100;SH518880;SZ159915
b1,2017-06-15,15287.660130722168,1493044.9,1508332.5601307221,-0.0033680450837410003,0.010135470475686898,SH513100;SH518880;SZ159915
b1,2017-06-16,15287.660130722168,1492749.5,1508037.1601307222,-0.000195845404261763,0.010137455849825993,SH513100;SH518880;SZ159915
b1,2017-06-19,15287.660130722168,1494219.3,1509506.9601307223,0.0009746444178289071,0.010127585055585479,SH513100;SH518880;SZ159915
