model,trade_date,symbol,shares,close,market_value
m4,2024-04-15,SH513100,1610000,6.645,10698450.0
m4,2024-04-16,SH513100,1610000,6.465,10408650.0
m4,2024-04-17,SH513100,1610000,6.46,10400600.0
m4,2024-04-18,SH513100,1610000,6.444999999999999,10376449.999999998
m4,2024-04-19,SH513100,1610000,6.32,10175200.0
m4,2024-04-22,SH513100,1610000,6.28,10110800.0
m4,2024-04-23,SH513100,1610000,6.295,10134950.0
m4,2024-04-24,SH513100,1610000,6.444999999999999,10376449.999999998
m4,2024-04-25,SH513100,1610000,6.34,10207400.0
m4,2024-04-26,SH513100,1610000,6.45,10384500.0
m4,2024-04-29,SH513100,1610000,6.49,10448900.0
m4,2024-04-30,SH513100,1610000,6.494999999999999,10456949.999999998
m4,2024-05-06,SH513100,1610000,6.51,10481100.0
m4,2024-05-07,SH513100,1610000,6.574999999999999,10585749.999999998
m4,2024-05-08,SH513100,1610000,6.585,10601850.0
m4,2024-05-09,SH513100,1610000,6.57,10577700.0
m4,2024-05-10,SH513100,1610000,6.6049999999999995,10634050.0
m4,2024-05-13,SH513100,1610000,6.630000000000001,10674300.000000002
m4,2024-05-14,SH513100,1610000,6.630000000000001,10674300.000000002
m4,2024-05-15,SH513100,1610000,6.675,10746750.0
m4,2024-05-16,SH513100,1610000,6.790000000000001,10931900.000000002
m4,2024-05-17,SH513100,1610000,6.775,10907750.0
m4,2024-05-20,SH513100,1610000,6.785,10923850.0
m4,2024-05-21,SH513100,1610000,6.82,10980200.0
m4,2024-05-22,SH513100,1610000,6.845,11020450.0
m4,2024-05-23,SH513100,1610000,6.905,11117050.0
m4,2024-05-24,SH513100,1610000,6.790000000000001,10931900.000000002
m4,2024-05-27,SH513100,1610000,6.870000000000001,11060700.000000002
m4,2024-05-28,SH513100,1610000,6.8999999999999995,11109000.0
m4,2024-05-29,SH513100,1610000,6.870000000000001,11060700.000000002
m4,2024-05-30,SH513100,1610000,6.795,10939950.0
m4,2024-05-31,SH513100,1610000,6.765,10891650.0
m4,2024-06-03,SH513100,1610000,6.795,10939950.0
m4,2024-06-04,SH513100,1610000,6.775,10907750.0
m4,2024-06-05,SH513100,1610000,6.83,10996300.0
m4,2024-06-06,SH513100,1610000,6.965,11213650.0
m4,2024-06-07,SH513100,1610000,6.97,11221700.0
m4,2024-06-11,SH513100,1610000,6.975,11229750.0
m4,2024-06-12,SH513100,1610000,7.039999999999999,11334399.999999998
m4,2024-06-13,SH513100,1610000,7.18,11559800.0
m4,2024-06-14,SH513100,1610000,7.175000000000001,11551750.000000002
m4,2024-06-17,SH513100,1610000,7.205,11600050.0
m4,2024-06-18,SH513100,1610000,7.3,11753000.0
m4,2024-06-19,SH513100,1610000,7.31,11769100.0
m4,2024-06-20,SH513100,1610000,7.359999999999999,11849600.0
m4,2024-06-21,SH513100,1610000,7.25,11672500.0
m4,2024-06-24,SH513100,1610000,7.22,11624200.0
m4,2024-06-25,SH513100,1610000,7.1450000000000005,11503450.0
m4,2024-06-26,SH513100,1610000,7.279999999999999,11720799.999999998
m4,2024-06-27,SH513100,1610000,7.275,11712750.0
m4,2024-06-28,SH513100,1610000,7.375,11873750.0
m4,2024-07-01,SH513100,1610000,7.365,11857650.0
m4,2024-07-02,SH513100,1610000,7.37,11865700.0
m4,2024-07-03,SH513100,1610000,7.504999999999999,12083049.999999998
m4,2024-07-04,SH513100,1610000,7.55,12155500.0
m4,2024-07-05,SH513100,1610000,7.645,12308450.0
m4,2024-07-08,SH513100,1610000,7.76,12493600.0
m4,2024-07-09,SH513100,1610000,7.84,12622400.0
m4,2024-07-10,SH513100,1610000,7.74,12461400.0
m4,2024-07-11,SH513100,1610000,7.7749999999999995,12517750.0
m4,2024-07-12,SH513100,1610000,7.46,12010600.0
m4,2024-07-15,SH513100,1610000,7.694999999999999,12388949.999999998
m4,2024-07-16,SH513100,1610000,7.68,12364800.0
m4,2024-07-17,SH513100,1610000,7.61,12252100.0
m4,2024-07-18,SH513100,1610000,7.4750000000000005,12034750.0
m4,2024-07-19,SH513100,1610000,7.355,11841550.0
m4,2024-07-22,SH513100,1610000,7.315,11777150.0
m4,2024-07-23,SH513100,1610000,7.385000000000001,11889850.000000002
m4,2024-07-24,SH513100,1610000,7.24,11656400.0
m4,2024-07-25,SH513100,1610000,7.035,11326350.0
m4,2024-07-26,SH513100,1610000,7.045,11342450.0
m4,2024-07-29,SH513100,1610000,7.1850000000000005,11567850.0
m4,2024-07-30,SH513100,1610000,7.1,11431000.0
m4,2024-07-31,SH513100,1610000,7.1450000000000005,11503450.0
m4,2024-08-01,SH513100,1610000,7.315,11777150.0
m4,2024-08-02,SH513100,1610000,6.9799999999999995,11237800.0
m4,2024-08-05,SH513100,1610000,6.435,10360350.0
m4,2024-08-06,SH513100,1610000,6.66,10722600.0
m4,2024-08-07,SH513100,1610000,6.67,10738700.0
m4,2024-08-08,SH513100,1610000,6.57,10577700.0
m4,2024-08-09,SH513100,1610000,6.75,10867500.0
m4,2024-08-12,SH513100,1610000,6.825,10988250.0
m4,2024-08-13,SH513100,1610000,6.895,11100950.0
m4,2024-08-14,SH513100,1610000,7.065,11374650.0
m4,2024-08-15,SH513100,1610000,7.109999999999999,11447100.0
m4,2024-08-16,SH513100,1610000,7.345000000000001,11825450.000000002
m4,2024-08-19,SH513100,1610000,7.21,11608100.0
m4,2024-08-20,SH513100,1610000,7.34,11817400.0
m4,2024-08-21,SH513100,1610000,7.345000000000001,11825450.000000002
m4,2024-08-22,SH513100,1610000,7.355,11841550.0
m4,2024-08-23,SH513100,1610000,7.285,11728850.0
m4,2024-08-26,SH513100,1610000,7.3,11753000.0
