trade_date,symbol,shares,adjusted_close,market_value
2023-07-28,SZ159985,221600,2.161,478877.60000000003
2023-07-31,SZ159985,221600,2.151,476661.6
2023-08-01,SZ159985,221600,2.173,481536.8
2023-08-02,SZ159985,221600,2.178,482644.8
2023-08-03,SH512880,465100,1.054,490215.4
2023-08-04,SH512880,465100,1.063,494401.3
2023-08-07,SZ159692,436800,1.122,490089.60000000003
2023-08-08,SZ159692,436800,1.128,492710.39999999997
2023-08-09,SH513090,402600,1.219,490769.4
2023-08-10,SZ159985,225800,2.19,494502.0
2023-08-11,SZ159985,225800,2.206,498114.8
2023-08-14,SZ159985,225800,2.219,501050.19999999995
2023-08-15,SZ159985,225800,2.237,505114.60000000003
2023-08-16,SZ159985,225800,2.234,504437.2
2023-08-17,SZ159985,225800,2.27,512566.0
2023-08-18,SZ159985,225800,2.296,518436.79999999993
2023-08-21,SZ159985,225800,2.343,529049.4
2023-08-22,SZ159985,225800,2.272,513017.6
2023-08-23,SZ159985,225800,2.27,512566.0
2023-08-24,SZ159985,225800,2.286,516178.8
2023-08-25,SZ159985,225800,2.334,527017.2000000001
2023-08-28,SZ159985,225800,2.357,532210.6000000001
2023-08-29,SZ159985,225800,2.372,535597.6
2023-08-30,SZ159985,225800,2.367,534468.6
2023-08-31,SZ159981,316900,1.683,533342.7000000001
2023-09-01,SZ159985,228900,2.347,537228.3
2023-09-04,SZ159985,228900,2.304,527385.6
2023-09-05,SZ159981,318300,1.675,533152.5
2023-09-06,SZ159981,318300,1.696,539836.7999999999
2023-09-07,SZ159985,227600,2.368,538956.7999999999
2023-09-08,SZ159985,227600,2.324,528942.3999999999
2023-09-11,SZ159985,227600,2.347,534177.2
2023-09-12,SZ159985,227600,2.321,528259.6000000001
2023-09-13,SZ159985,227600,2.284,519838.39999999997
2023-09-14,SH518880,113700,4.592,522110.39999999997
2023-09-15,SH518880,113700,4.548,517107.6
2023-09-18,SH518880,113700,4.524,514378.8
2023-09-19,SH518880,113700,4.559,518358.30000000005
2023-09-20,SH518880,113700,4.594,522337.80000000005
2023-09-21,SH518880,113700,4.58,520746.0
2023-09-22,SH518880,113700,4.561,518585.7
2023-09-25,SH518880,113700,4.581,520859.70000000007
2023-09-26,SH518880,113700,4.578,520518.60000000003
2023-09-27,SH518880,113700,4.511,512900.7
2023-09-28,SH518880,113700,4.436,504373.2
2023-10-09,SH511880,3700,134.64906303587549,498201.5332327393
