family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
dual-ma,2,0;1;2;4,3;5;6;7,dual-ma__fast-50-slow-100,-0.043623251254116396,0.44521539528138265,0.4166666666666667,-0.33647223662121273,True
dual-ma,3,0;1;2;5,3;4;6;7,dual-ma__fast-20-slow-100,-0.2897137772889349,0.5310908204771738,0.25,-1.0986122886681098,True
dual-ma,4,0;1;2;6,3;4;5;7,dual-ma__fast-20-slow-100,0.6766930768094371,-0.06593722972943654,0.4166666666666667,-0.33647223662121273,True
dual-ma,5,0;1;2;7,3;4;5;6,dual-ma__fast-10-slow-50,0.04863945741631697,0.19606445084072793,0.08333333333333333,-2.3978952727983707,True
dual-ma,6,0;1;3;4,2;5;6;7,dual-ma__fast-20-slow-100,0.005276404809699541,0.3514834230400861,0.25,-1.0986122886681098,True
dual-ma,7,0;1;3;5,2;4;6;7,dual-ma__fast-20-slow-100,-0.19044089221560523,0.44864842578481035,0.25,-1.0986122886681098,True
dual-ma,8,0;1;3;6,2;4;5;7,dual-ma__fast-20-slow-100,0.855852926794197,-0.13200315530932485,0.25,-1.0986122886681098,True
dual-ma,9,0;1;3;7,2;4;5;6,dual-ma__fast-50-slow-200,0.07246141679458572,0.5439131881118279,0.5833333333333334,0.336472236621213,False
dual-ma,10,0;1;4;5,2;3;6;7,dual-ma__fast-20-slow-100,0.02847561555562193,0.368382938762593,0.25,-1.0986122886681098,True
dual-ma,11,0;1;4;6,2;3;5;7,dual-ma__fast-20-slow-100,0.8694529545677631,-0.2672270216490845,0.25,-1.0986122886681098,True
dual-ma,12,0;1;4;7,2;3;5;6,dual-ma__fast-50-slow-200,0.1265115582590217,0.5043385012890702,0.5833333333333334,0.336472236621213,False
dual-ma,13,0;1;5;6,2;3;4;7,dual-ma__fast-20-slow-100,0.7136544034827551,-0.16373666505940213,0.25,-1.0986122886681098,True
dual-ma,14,0;1;5;7,2;3;4;6,dual-ma__fast-50-slow-200,0.061600332843459726,0.6711931381988395,0.5833333333333334,0.336472236621213,False
dual-ma,15,0;1;6;7,2;3;4;5,dual-ma__fast-10-slow-50,0.7506730616371532,-0.8018127746934257,0.08333333333333333,-2.3978952727983707,True
dual-ma,16,0;2;3;4,1;5;6;7,dual-ma__fast-50-slow-100,0.4432727171298958,0.22035670405367366,0.25,-1.0986122886681098,True
dual-ma,17,0;2;3;5,1;4;6;7,dual-ma__fast-50-slow-100,-0.05867251838949056,0.4532867515762101,0.4166666666666667,-0.33647223662121273,True
dual-ma,18,0;2;3;6,1;4;5;7,dual-ma__fast-20-slow-100,0.9152422472908334,-0.1744620645928478,0.25,-1.0986122886681098,True
dual-ma,19,0;2;3;7,1;4;5;6,dual-ma__fast-10-slow-50,0.02455959159525288,0.21468740750960355,0.25,-1.0986122886681098,True
dual-ma,20,0;2;4;5,1;3;6;7,dual-ma__fast-50-slow-100,0.30111519938371556,0.2551000275665272,0.25,-1.0986122886681098,True
