family,case,total_return,annualized_return,maximum_drawdown,sharpe,annualized_volatility,turnover,average_cash_ratio,maximum_cash_ratio,longest_underwater_trading_days,yearly_returns,calmar,average_exposure,invested_session_ratio,filled_trade_count,rejected_order_count,maximum_volume_participation
trix,next-close,1.7230856843394822,0.47370592137083944,0.21038874510761574,1.4201987320204512,0.3043608665643913,37.934202757315006,0.5463853257323538,1.0,215,"{""2023"": 0.0, ""2024"": 0.37790869791855863, ""2025"": 0.22667679653291883, ""2026"": 0.6110562908151769}",2.251574442009883,0.45361467426764623,0.4577572964669739,39,0,0.0009316990852354496
trix,second-next-open,1.7593217529305494,0.48126637942398665,0.2112892848646455,1.4362266141071784,0.3045749183118376,36.2227651356927,0.5478831691135702,1.0,215,"{""2023"": 0.0, ""2024"": 0.4069994064396325, ""2025"": 0.20584474078337656, ""2026"": 0.6263613201208391}",2.277760463491046,0.4521168308864298,0.45622119815668205,38,0,0.0009484208108838401
adx-dmi,base,1.1096784479597641,0.33506702949604117,0.18899037644016803,1.111558451605399,0.2990952573480516,20.751082657779587,0.605483355126962,1.0,215,"{""2023"": 0.0, ""2024"": 0.25995107099289005, ""2025"": 0.2972016406119815, ""2026"": 0.29078852806559374}",1.7729317005838081,0.39451664487303795,0.3978494623655914,20,0,0.0008353618978500223
adx-dmi,slippage-10bp,1.077594700394421,0.32717066105587733,0.18909842460412196,1.0916994319928457,0.29909847544348384,20.74450678140979,0.6052105096848461,1.0,215,"{""2023"": 0.0, ""2024"": 0.25516652356862934, ""2025"": 0.29026665907152727, ""2026"": 0.2828621920898866}",1.7301606914008403,0.3947894903151539,0.3978494623655914,20,0,0.000834094015010926
adx-dmi,slippage-20bp,1.0380853240412802,0.3173433356716777,0.18923842386274148,1.066754939800909,0.2991274510098562,20.73612782996895,0.6048657682179723,1.0,215,"{""2023"": 0.0, ""2024"": 0.24921113898290148, ""2025"": 0.2816080738352871, ""2026"": 0.2730084279290137}",1.6769497927220816,0.3951342317820276,0.3978494623655914,20,0,0.0008324803459429852
adx-dmi,next-close,0.7846656149076594,0.2513443802660549,0.22759134840592177,0.9016283222323749,0.2960617331730627,20.836802604106566,0.6056066404943399,1.0,215,"{""2023"": 0.0, ""2024"": 0.1697381360182686, ""2025"": 0.3364703677408838, ""2026"": 0.141586628191277}",1.1043670246101283,0.39439335950566007,0.3978494623655914,20,0,0.0008589906234877255
adx-dmi,second-next-open,0.6820471837037467,0.22298527681541191,0.22720638736037002,0.9778312533270326,0.23366020997742146,19.183300642632254,0.704584841872347,1.0,206,"{""2023"": 0.0, ""2024"": 0.05237077661575795, ""2025"": 0.44024331604235667, ""2026"": 0.10977139430564531}",0.9814216906751699,0.2954151581276529,0.2980030721966206,18,1,0.0008631438171927263
aroon,base,0.652751149263264,0.21469545611751362,0.262090666242506,0.8369437539570271,0.27682462097384847,31.65516469824267,0.6711630651731646,1.0,219,"{""2023"": 0.0, ""2024"": -0.046453123452182554, ""2025"": 0.3448613779173548, ""2026"": 0.28880703591231804}",0.8191648302303953,0.32883693482683546,0.3317972350230415,34,0,0.0006249533955366737
aroon,slippage-10bp,0.6093445407049018,0.20224553639835752,0.26691382798584085,0.7996110880728765,0.2768753999637969,31.719713737613677,0.6709229007605146,1.0,219,"{""2023"": 0.0, ""2024"": -0.05777600502655844, ""2025"": 0.3303004554925111, ""2026"": 0.2839411893057706}",0.7577184663849119,0.3290770992394853,0.3317972350230415,34,0,0.0006239312277323938
aroon,slippage-20bp,0.5566154208310787,0.18684163269167597,0.2729117413104345,0.7528177445097013,0.2769881401175659,31.80068645914454,0.6706135414551876,1.0,219,"{""2023"": 0.0, ""2024"": -0.0717585838433411, ""2025"": 0.3122804812920963, ""2026"": 0.27789072345401555}",0.6846229179973075,0.3293864585448124,0.3317972350230415,34,0,0.000622704626367258
aroon,next-close,0.461539455614669,0.15823752151481862,0.3318816481279899,0.6780840782219544,0.2682436163048466,31.879169766401514,0.6711944144844154,1.0,243,"{""2023"": 0.0, ""2024"": -0.12034645711014313, ""2025"": 0.2762198919084984, ""2026"": 0.3018872636727865}",0.4767890071878709,0.32880558551558464,0.3317972350230415,34,0,0.0006435057411843521
aroon,second-next-open,0.46531381933863925,0.15939445136994723,0.23125270862964697,0.7596318965016421,0.22892102609586137,30.087521770687523,0.6803213931437854,1.0,349,"{""2023"": 0.0, ""2024"": -0.10930312275866161, ""2025"": 0.26810470412190845, ""2026"": 0.29731548565490495}",0.689265229862534,0.3196786068562146,0.3225806451612903,32,1,0.0005627213862353966
supertrend,base,0.7515851417168196,0.24231420923792313,0.2820383299456196,0.857578071221443,0.3051938566717911,25.425288981331825,0.5827904848381644,1.0,219,"{""2023"": 0.0, ""2024"": 0.03361368161854483, ""2025"": 0.26530176818352835, ""2026"": 0.3393031437872893}",0.8591534678447579,0.4172095151618356,0.42089093701996927,28,0,0.0007550730229401952
supertrend,slippage-10bp,0.7137314050007717,0.2318518667838172,0.28560447337350714,0.82955560102628,0.30535655509772663,25.506316860944597,0.582491440600041,1.0,219,"{""2023"": 0.0, ""2024"": 0.02137863738803003, ""2025"": 0.256505138890631, ""2026"": 0.3353395626318305}",0.8117935410647665,0.417508559399959,0.42089093701996927,28,0,0.0007514677084903773
