model,execution_date,target_weight,execution,delay,family
walk-forward__stochastic-reversion,2024-05-10,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-05-14,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-05-31,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-06-07,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-06-12,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-06-20,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-07-10,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-07-24,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-08-01,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-08-06,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-09-02,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-09-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-09-25,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-10-15,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-10-21,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-10-28,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-11-06,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-11-15,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-11-22,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-11-25,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-12-02,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-12-11,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2024-12-23,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-01-02,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-01-10,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-02-05,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-02-06,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-02-19,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-02-20,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-03-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-03-07,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-03-13,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-04-11,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-04-25,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-05-06,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-05-12,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-06-05,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-06-11,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-06-25,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-07-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-07-16,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-08-04,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-08-14,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-09-05,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-09-12,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-10-13,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-10-27,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-11-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-12-09,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-12-16,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2025-12-23,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-01-30,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-02-10,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-03-04,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-03-11,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-03-18,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-04-02,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-04-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-04-09,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-05-18,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-05-20,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-06-01,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-06-16,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-07-03,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-07-10,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-07-14,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-08-06,0.0,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-08-20,0.99,open,1,stochastic-reversion
walk-forward__stochastic-reversion,2026-08-28,0.0,open,1,stochastic-reversion
walk-forward__cci-reversion,2023-12-25,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2024-01-02,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2024-01-05,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2024-02-19,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2024-03-27,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2024-04-01,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2024-06-26,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2024-07-22,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2024-08-21,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2024-09-30,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2025-01-03,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2025-02-07,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2025-04-08,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2025-05-08,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2025-06-16,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2025-06-27,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2025-11-24,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2025-12-26,0.0,open,1,cci-reversion
walk-forward__cci-reversion,2026-03-10,0.99,open,1,cci-reversion
walk-forward__cci-reversion,2026-04-15,0.0,open,1,cci-reversion
walk-forward__bollinger-reversion,2023-12-25,0.0,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-01-09,0.99,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-02-08,0.0,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-03-28,0.99,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-04-29,0.0,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-06-26,0.99,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2024-07-17,0.0,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2025-04-08,0.99,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2025-04-18,0.0,open,1,bollinger-reversion
walk-forward__bollinger-reversion,2026-07-20,0.99,open,1,bollinger-reversion
