period,trial,use_absolute_momentum,use_inverse_vol,use_vol_target,use_rank_buffer,use_correlation_guard,use_capacity,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
era_2018_2021,factorial_011111,False,True,True,True,True,True,973,0.4490964062134222,0.10083704631747281,0.24409161883235564,0.6369123737167774,1.021381061089823,0.4131114652761946,0.17497018976670045,77.26276921310043,20.010501378932485,115054.2017596878,0.010378544701521605,0.6982385976672271,472,0.2671088281639209,0.5241521068859198
era_2018_2021,factorial_100000,True,False,False,False,False,False,973,0.43236769343914805,0.09753150897625606,0.3046497107483642,0.4696852889653009,0.7264138862312847,0.32014312023035374,0.2850735458230611,104.61901472853323,27.095572159907885,153624.77029636083,0.002682237710656034,0.8589351544577809,485,0.191414365702538,0.5323741007194245
era_2018_2021,factorial_100001,True,False,False,False,False,True,973,0.42515341468523804,0.09609715894755344,0.2981219763574985,0.48944464679215954,0.7532577246418405,0.3223417479036056,0.2533487315657318,104.00300167793685,26.93602921155199,155571.14256348868,0.004500722506908664,0.7396118466915811,483,0.15416540339149853,0.5375128468653648
era_2018_2021,factorial_100010,True,False,False,False,True,False,973,0.4928292024230667,0.10934688887232813,0.30492062769751505,0.5150215077551016,0.794540325161736,0.35860771276124215,0.27565215679041116,104.87119526608086,27.16088510488425,162627.8762773708,0.0035291096174457667,0.8535117920476678,475,0.34404539256096167,0.5405960945529291
era_2018_2021,factorial_100011,True,False,False,False,True,True,973,0.5059381750109577,0.11186170075228308,0.2901681267098749,0.5584060887983213,0.859345136802251,0.38550650624742183,0.2430648592305197,104.69099314720296,27.114214052512995,167140.4644666574,0.004613001097182377,0.728299029759683,470,0.33931036312865204,0.5467625899280576
era_2018_2021,factorial_100100,True,False,False,True,False,False,973,0.5407598856378011,0.11846398648745327,0.3013188704925319,0.5417788975265435,0.8510212414786945,0.39315156828317316,0.27848987492163824,62.237213235807324,16.11899047833859,95696.64980533517,0.0027549580411672476,0.8586739788585027,485,0.264936564166683,0.5375128468653648
era_2018_2021,factorial_100101,True,False,False,True,False,True,973,0.5510400028339277,0.1203919643099709,0.2687817478306247,0.5720436603469534,0.8916184784945926,0.44791718664556424,0.2564202516953214,64.8124230492091,16.78595129332034,100681.50601223667,0.006529447980395057,0.7678043369832132,478,0.24397219419337346,0.538540596094553
era_2018_2021,factorial_100110,True,False,False,True,True,False,973,0.4312737006862186,0.09731434511323256,0.3028049949529731,0.4745825981119739,0.7345688080913363,0.3213762874960035,0.27676234367740427,77.10977409336165,19.970876743604457,118846.73627585919,0.003361918839202903,0.8535645361944253,475,0.2855215996597653,0.5436793422404933
era_2018_2021,factorial_100111,True,False,False,True,True,True,973,0.4471377879303462,0.10045149617947602,0.2683641330809411,0.5135399193966949,0.7903618992079511,0.3743104379346361,0.24521348110662675,79.14148273097872,20.497074664138374,124566.99295442249,0.006527795490772983,0.731934284283253,287,0.28101944185500316,0.539568345323741
era_2018_2021,factorial_101000,True,False,True,False,False,False,973,0.5522756243217994,0.12062306007878254,0.2662639898132867,0.7167192374599607,1.1512462913198118,0.4530205536368906,0.18209218918722003,100.80697095272838,26.108280246749796,152544.23689492536,0.007886473549622625,0.6121194563835223,478,0.2986629136991754,0.5344295991778006
era_2018_2021,factorial_101001,True,False,True,False,False,True,973,0.5391350286661376,0.11815838206017304,0.2085217041312546,0.7501026884032899,1.199860477438729,0.5666478823029276,0.16769325736268306,96.94431916564096,25.107881222755932,149477.1028218406,0.009469714952128805,0.5460690184333226,474,0.2799881961068331,0.539568345323741
era_2018_2021,factorial_101010,True,False,True,False,True,False,973,0.5922655923376265,0.12802977655482128,0.26120981797365783,0.7551778417634887,1.2096411949130559,0.49014151745143314,0.18138162567096489,102.51080837974091,26.549561882522823,159206.52424864692,0.008004884309345013,0.621172714064118,471,0.379528424120674,0.5457348406988695
era_2018_2021,factorial_101011,True,False,True,False,True,True,973,0.577844134373596,0.12537477648564255,0.195833227107158,0.7923107604972724,1.2622704058204035,0.6402119718786982,0.16667493297362418,98.34279660703893,25.47007681908922,155593.63520011684,0.010084067710817032,0.553433244324326,393,0.36988560681672533,0.5447070914696814
era_2018_2021,factorial_101100,True,False,True,True,False,False,973,0.5988479623356857,0.1292356755732822,0.24085506365022014,0.7679197883379105,1.232430445487503,0.5365703075313529,0.17927442265809332,68.83956552624213,17.828952222623858,107399.63263548797,0.013267054836652307,0.606173835043651,474,0.3473960917073857,0.538540596094553
era_2018_2021,factorial_101101,True,False,True,True,False,True,973,0.6130367794185638,0.13182262736075878,0.20392287327010328,0.8184849863047835,1.297850386852318,0.6464337484405436,0.1687750730192945,67.0965349277974,17.377519837415157,106020.8032409804,0.01221452877328149,0.5576344062079499,471,0.3496837814644247,0.5375128468653648
era_2018_2021,factorial_101110,True,False,True,True,True,False,973,0.5101702640849566,0.11267011588809228,0.2598906851664201,0.6764252410174508,1.0682982287548861,0.43352887317198135,0.18257620683131906,81.60483083539565,21.135064101253548,125254.58927490655,0.008563990257525465,0.6202561403993336,468,0.33147418539827656,0.5426515930113053
era_2018_2021,factorial_101111,True,False,True,True,True,True,973,0.517745161899466,0.11411289379294387,0.19258075565495036,0.7292829753793006,1.1473963053646874,0.5925456746955627,0.1674934010641065,79.77477227306855,20.66109209949977,125083.01065531335,0.010460207095601089,0.5516896915907105,458,0.3430070789259596,0.5375128468653648
era_2018_2021,factorial_110000,True,True,False,False,False,False,973,0.4704782514121906,0.10502110842297219,0.30495221554800334,0.4971009971905943,0.7674379552353959,0.34438545801101267,0.28032872604018894,111.22356622047157,28.80610348156098,165638.37449759617,0.005358647969131346,0.856456347953794,483,0.20810078484592465,0.538540596094553
era_2018_2021,factorial_110001,True,True,False,False,False,True,973,0.4679654574696719,0.10453174478648108,0.2811842576376532,0.5301041206531687,0.8168797577438949,0.3717553239455725,0.24392702783410555,109.58166531361431,28.380862958921693,165395.1705589458,0.009393892534012977,0.7248355332732166,478,0.18002695991566098,0.5364850976361768
era_2018_2021,factorial_110010,True,True,False,False,True,False,973,0.5098832018611739,0.11261533427158876,0.3049665003038784,0.5294834311300435,0.8144196838045694,0.36927116309291425,0.2715795889291128,111.38558422134692,28.848064978190568,175109.24374052824,0.0033717945669827576,0.8532674496057927,471,0.3659495240765698,0.5457348406988695
era_2018_2021,factorial_110011,True,True,False,False,True,True,973,0.5261555803312823,0.11570857430342452,0.273719123206965,0.5834398552747514,0.8986852393502031,0.4227274037259528,0.23538026291473982,110.49683065326309,28.617884197967417,177342.9759415201,0.008677692017088344,0.7166216747158456,459,0.37054185958857766,0.5426515930113053
era_2018_2021,factorial_110100,True,True,False,True,False,False,973,0.5252603927390227,0.11553904369497858,0.30221045946161285,0.5366186702933003,0.8415692134361525,0.38231318631661887,0.27393621811604046,66.20292900293074,17.146082331694295,100586.10794681763,0.00577922897343595,0.8562991967706188,492,0.23743868028583592,0.538540596094553
era_2018_2021,factorial_110101,True,True,False,True,False,True,973,0.5734353635491543,0.12455953099947314,0.2572951911732658,0.5951862189000006,0.9268286583592786,0.48411138362703865,0.24992978449482248,68.87843781462932,17.83901986565939,107478.9130081681,0.006705175707422718,0.7607871735809314,476,0.2603970735900132,0.5375128468653648
era_2018_2021,factorial_110110,True,True,False,True,True,False,973,0.4726313054694897,0.10543992044563777,0.30220698759956544,0.5051063497053117,0.7835275249644719,0.3488996772812853,0.27207600064051685,82.86749093043159,21.462083981982282,129054.26600441149,0.004108143801272305,0.8528309294661067,473,0.3085753940955249,0.5436793422404933
