trade_date,observation_date,temperature,market_height,recent_60d_gain,rank,buy_eligible,symbol,report_date,notice_date,quarter_operating_cash_flow,quarter_deducted_parent_net_profit,quarter_net_profit,quarter_roe,quarter_roa,previous_quarter_net_profit,net_profit_yoy,pb,paused,is_st,cash_profit_ratio,score
2019-11-29,2019-11-29,warm,0.7664695068483777,0.3185050206965412,4,True,SH601186,2019-09-30,2019-10-31,12530312000.0,5108735000.0,6067125000.0,2.4713191181937035,0.5982846065411072,5260314000.0,15.337696570965154,0.8155194,False,False,2.4527230322183478,0.7336240027412065
2019-11-29,2019-11-29,warm,0.7664695068483777,0.3185050206965412,5,True,SH601390,2019-09-30,2019-10-31,8888829000.0,4823985000.0,5458739000.0,2.1410804087724262,0.5348085553603057,3786748000.0,44.153743528748144,0.76406717,False,False,1.842631973358126,0.6999496593477582
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,1,True,SH603160,2019-09-30,2019-10-25,981163663.3599999,659172944.25,695469569.23,12.986556672613462,9.566736657498117,206506905.84000003,236.7778750066811,14.60030782,False,False,1.4884768434729334,9.566736657498117
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,2,True,SZ002841,2019-09-30,2019-10-26,2174823978.35,808486165.1600001,854049223.57,19.321657099978225,8.82909727249447,494108275.84000003,72.84657337869696,11.85833271,False,False,2.6899952925225388,8.82909727249447
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,3,True,SZ300498,2019-09-30,2019-10-23,6084912873.450001,4505858383.49,4889094171.87,12.851318866986333,8.76043144361068,2088588419.94,134.08605186130694,3.95654873,False,False,1.3504447666943649,8.76043144361068
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,4,True,SZ002007,2019-09-30,2019-10-28,221924800.25,429548673.6999999,517758151.21,7.296460128510504,7.522686704771564,315880691.96,63.909401362069886,7.53730137,False,False,0.5166464567063103,7.522686704771564
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,5,True,SZ000661,2019-09-30,2019-10-24,727050751.0,513433248.06000006,766874916.0199999,7.0796264582321955,7.299304585629741,439780522.2900001,74.3767350192711,11.18891115,False,False,1.4160570117871223,7.299304585629741
2019-12-31,2019-12-31,hot,0.9023246287319502,0.23007868073759874,6,False,SZ002555,2019-09-30,2019-10-31,1280990291.31,467927409.2099999,604468560.4799998,8.057294828433267,6.523958736963823,456699287.21000004,32.355923779239944,8.09225308,False,False,2.737583364634893,6.523958736963823
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,1,True,SH603160,2019-09-30,2019-10-25,981163663.3599999,659172944.25,695469569.23,12.986556672613462,9.566736657498117,206506905.84000003,236.7778750066811,23.92525479,False,False,1.4884768434729334,9.566736657498117
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,2,True,SZ002841,2019-09-30,2019-10-26,2174823978.35,808486165.1600001,854049223.57,19.321657099978225,8.82909727249447,494108275.84000003,72.84657337869696,11.53593233,False,False,2.6899952925225388,8.82909727249447
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,3,True,SZ300498,2019-09-30,2019-10-23,6084912873.450001,4505858383.49,4889094171.87,12.851318866986333,8.76043144361068,2088588419.94,134.08605186130694,3.84776894,False,False,1.3504447666943649,8.76043144361068
2020-01-23,2020-01-23,hot,0.8657524934946508,0.17934565007964554,4,True,SZ002007,2019-09-30,2019-10-28,221924800.25,429548673.6999999,517758151.21,7.296460128510504,7.522686704771564,315880691.96,63.909401362069886,7.73886789,False,False,0.5166464567063103,7.522686704771564
