window_end,window_start,trading_days,total_return,annualized_return,maximum_drawdown,sharpe,sortino,calmar,annualized_volatility,turnover,annualized_turnover,transaction_cost,average_cash_ratio,average_risk_weight,longest_underwater_trading_days,worst_rolling_three_year_return,positive_day_ratio
2021-04-30,2018-03-23,756,0.43907768620481535,0.12900209135748852,0.16283527585628177,0.8695171266316143,1.323433656713308,0.7922244776454067,0.15313034865429645,60.29216331203151,20.09738777067717,125550.7461346807,0.007663925193822108,0.5080146450279835,221,,0.5357142857142857
2021-05-31,2018-04-20,756,0.5531242657639863,0.15807157437154595,0.162835275856282,1.020738715005697,1.5635417358119492,0.9707452733464187,0.155759340995506,62.241193250702494,20.74706441690083,131006.01392348469,0.007730847103559087,0.505899766623116,197,,0.541005291005291
2021-06-30,2018-05-23,756,0.6475858146313116,0.18108915397675296,0.1628352758562822,1.1278116743761457,1.734615234994231,1.1121002683508305,0.158868075291083,59.301410698886805,19.767136899628934,126509.69334393297,0.007664239270534802,0.5225252149592282,175,,0.544973544973545
2021-07-30,2018-06-25,756,0.7663911217003676,0.20882182103047842,0.1628352758562821,1.248148783753882,1.9408969169412826,1.2824114426826279,0.16264311317946836,58.52678158860794,19.508927196202645,126935.09024726646,0.007842325024830682,0.5319281965034073,136,,0.5476190476190477
2021-08-31,2018-07-25,756,0.7917322214515936,0.214575084740404,0.16283527585628177,1.2521470651859923,1.9581934569956705,1.3177432445890147,0.16641334373129685,61.517103265622154,20.505701088540718,135541.90495726647,0.008218691161549642,0.547513517180983,157,,0.548941798941799
2021-09-30,2018-08-22,756,0.7764462863654669,0.21111121796095067,0.16283527585628121,1.2094281849744857,1.8999591697705824,1.2964710309286909,0.1704958301679342,61.63041356163037,20.543471187210123,137947.98577726647,0.008337847680288652,0.55923218307156,157,,0.548941798941799
2021-10-29,2018-09-13,756,0.7564871372487207,0.20655833629014264,0.1628352758562822,1.1805433564342669,1.85776082693147,1.2685109857427346,0.1716405210685818,61.37580597545079,20.45860199181693,139015.21154726646,0.008293934841406699,0.5657007601738793,157,,0.5502645502645502
2021-11-30,2018-10-23,756,0.7468268314409632,0.20434233068377927,0.16283527585628188,1.1600887506899609,1.8319103124443439,1.2549021064952255,0.17333240361373348,57.09324621261077,19.03108207087026,131333.4574149123,0.008182562871292319,0.5804754502094626,157,,0.5502645502645502
2021-12-31,2018-11-23,756,0.6683890958896404,0.18603939400935832,0.16283527585628177,1.061811548485356,1.6776958279880312,1.1425005609568069,0.17525859826461151,57.02990904776114,19.009969682587045,133163.8160064668,0.00880447486946533,0.5850950284421267,157,,0.5476190476190477
2022-01-28,2018-12-20,756,0.4383241434486165,0.12880499755411545,0.23513017471294984,0.7690728770999529,1.208790191003904,0.5478029253853206,0.17832995083041064,59.68477336723244,19.894924455744146,140667.26158204305,0.008695397376866247,0.5916087236942191,157,,0.541005291005291
2022-02-28,2019-01-15,756,0.41631562796593724,0.12301790984778505,0.24803239307496505,0.7391324698351294,1.1638713366943072,0.4959751761561412,0.178680557444988,61.56798450085237,20.522661500284123,146015.1026725939,0.009184567714580146,0.5897191054193474,157,,0.5370370370370371
2022-03-31,2019-02-22,756,0.3800444520584132,0.11334823552047935,0.27249753875913674,0.6827494001505129,1.0620495192308703,0.41596058458593627,0.18153550816826025,62.89849157852324,20.96616385950775,150510.93402321922,0.00935214933662635,0.591396517109331,157,,0.5436507936507936
2022-04-29,2019-03-21,756,0.2605495620264011,0.08023930511768795,0.2740263877233252,0.5191376584022067,0.7980893286848546,0.2928159794548792,0.18008361555900493,63.4486054829464,21.149535160982133,152666.25620808307,0.009068969391719464,0.5929803329225644,157,,0.541005291005291
2022-05-31,2019-04-18,756,0.26560950559993834,0.0816827635314401,0.2740263877233252,0.527476075664307,0.8088853953634454,0.2980835685573183,0.17961077039164236,64.62789900147929,21.542633000493097,156240.24675502465,0.009077498342773648,0.6006493227521881,170,,0.5423280423280423
2022-06-30,2019-05-22,756,0.35327794203054097,0.10610324817640615,0.2740263877233249,0.6554850602330717,1.0090051580121944,0.3872008424368787,0.17822274534685473,63.38514448115866,21.128381493719555,154283.39621276298,0.009393022261591935,0.6010726830260174,191,,0.5462962962962963
2022-07-29,2019-06-21,756,0.3164847914413651,0.09598669538738225,0.27402638772332466,0.605081736652006,0.9286398278113437,0.35028267235452093,0.1777370854564905,61.479529835712306,20.4931766119041,150724.39596127218,0.009520692983383231,0.5929368454661683,212,,0.5476190476190477
2022-08-31,2019-07-24,756,0.3043030474430417,0.09259574029290807,0.27402638772332455,0.5877969329516286,0.9011862298490768,0.3379081155731577,0.17767012744125715,61.51266308485836,20.50422102828612,151879.41552822772,0.009889654137934507,0.5874634030508166,235,,0.548941798941799
2022-09-30,2019-08-22,756,0.18044537617363887,0.056854737324940396,0.27926982287739854,0.3992810843232727,0.6115369919038458,0.20358353344142033,0.1786871663160041,62.85448396343775,20.95149465447925,156033.94626661518,0.010176679454924835,0.5838750712960118,256,,0.544973544973545
2022-10-31,2019-09-16,756,0.13895904382294266,0.04432586843035624,0.30079388484620284,0.33227788978604084,0.5089047300850494,0.1473629307757378,0.17897564948564504,65.58459413453741,21.861531378179137,163157.2873966243,0.010499519289545697,0.5799320533579971,272,,0.5383597883597884
2022-11-30,2019-10-23,756,0.06548236752193182,0.021367628321734333,0.34577758157304084,0.20792009350651378,0.3189194047870523,0.061795875326928075,0.17983585281164205,67.3591256919265,22.453041897308832,167985.16768596566,0.010522551833668313,0.5758049350178144,294,,0.5304232804232805
2022-12-30,2019-11-22,756,0.05864873587627839,0.01917937836861583,0.34927648050316207,0.19595665429468287,0.3005259574076541,0.05491173737489088,0.18026830451795753,67.99077032010244,22.663590106700813,169786.27689849917,0.010570774795343036,0.5850983269394171,316,,0.533068783068783
2023-01-31,2019-12-16,756,0.011929797666845099,0.003960889860127992,0.3495450531550074,0.1124153117396246,0.1720486317427863,0.011331557475572445,0.18005005893783516,68.92511247875542,22.975037492918474,172294.80400804762,0.010361568219493088,0.5825510324301031,332,,0.5291005291005291
2023-02-28,2020-01-14,756,-0.0626653920854584,-0.021340647592533735,0.35624162940737125,-0.030876219172329803,-0.047080851097836864,-0.059904979740956016,0.17873707700568686,71.11929632677699,23.706432108925664,177741.80698843772,0.009722541949232605,0.5763263753135813,352,,0.5238095238095238
