date,code,amount,avg_cost,last_price,market_value
2014-04-04,511010.XSHG,6100,94.53426999768887,94.065,573796.5
2014-04-08,159915.XSHE,298400,1.3180269722684705,1.318,393291.2
2014-04-08,511010.XSHG,6100,94.53426999768887,94.137,574235.7
2014-04-09,159915.XSHE,298400,1.3180269722684705,1.336,398662.4
2014-04-09,511010.XSHG,6100,94.53426999768887,94.226,574778.6
2014-04-10,159915.XSHE,298400,1.3180269722684705,1.347,401944.8
2014-04-10,511010.XSHG,6100,94.53426999768887,94.33,575413.0
2014-04-11,159915.XSHE,298400,1.3180269722684705,1.329,396573.6
2014-04-11,511010.XSHG,6100,94.53426999768887,94.579,576931.8999999999
2014-04-14,159915.XSHE,295300,1.3180269722684705,1.339,395406.7
2014-04-14,511010.XSHG,6200,94.53640309450034,94.673,586972.6
2014-04-15,159915.XSHE,295300,1.3180269722684705,1.333,393634.89999999997
2014-04-15,511010.XSHG,6200,94.53640309450034,94.987,588919.4
2014-04-16,159915.XSHE,295300,1.3180269722684705,1.328,392158.4
2014-04-16,511010.XSHG,6200,94.53640309450034,94.687,587059.4
2014-04-17,159915.XSHE,295300,1.3180269722684705,1.337,394816.1
2014-04-17,511010.XSHG,6200,94.53640309450034,95.231,590432.2
2014-04-18,159915.XSHE,295300,1.3180269722684705,1.344,396883.2
2014-04-18,511010.XSHG,6200,94.53640309450034,95.254,590574.8
2014-04-21,159915.XSHE,296700,1.3181065955877296,1.329,394314.3
2014-04-21,511010.XSHG,6200,94.53640309450034,95.379,591349.8
2014-04-22,159915.XSHE,296700,1.3181065955877296,1.303,386600.1
2014-04-22,511010.XSHG,6200,94.53640309450034,94.996,588975.2
2014-04-23,159915.XSHE,296700,1.3181065955877296,1.297,384819.89999999997
2014-04-23,511010.XSHG,6200,94.53640309450034,95.059,589365.7999999999
2014-04-24,159915.XSHE,296700,1.3181065955877296,1.284,380962.8
2014-04-24,511010.XSHG,6200,94.53640309450034,94.738,587375.6
2014-04-25,159915.XSHE,296700,1.3181065955877296,1.26,373842.0
2014-04-25,511010.XSHG,6200,94.53640309450034,95.019,589117.8
2014-04-28,511010.XSHG,10100,94.71091838890615,94.882,958308.2000000001
2014-04-29,511010.XSHG,10100,94.71091838890615,94.995,959449.5
2014-04-30,511010.XSHG,10100,94.71091838890615,95.321,962742.1
2014-05-05,511010.XSHG,6000,94.71091838890615,95.451,572706.0
2014-05-05,159915.XSHE,307900,1.2546292758999997,1.272,391648.8
2014-05-06,511010.XSHG,6000,94.71091838890615,95.535,573210.0
2014-05-06,159915.XSHE,307900,1.2546292758999997,1.285,395651.5
2014-05-07,511010.XSHG,6000,94.71091838890615,95.397,572382.0
2014-05-07,159915.XSHE,307900,1.2546292758999997,1.257,387030.3
2014-05-08,511010.XSHG,6000,94.71091838890615,95.547,573282.0
