cash,daily_return,date,market_value,total_value
6361.758894257757,-0.013507596968464819,2024-11-15,1988051.2,1994412.9588942577
11778.184794257757,-0.007806043392653783,2024-11-18,1967066.3000000003,1978844.4847942581
11778.184794257757,0.009177325524844182,2024-11-19,1985226.7999999998,1997004.9847942577
11778.184794257757,0.0009619905882198854,2024-11-20,1987147.9,1998926.0847942578
11778.184794257757,0.0041314684233810794,2024-11-21,1995406.4000000001,2007184.584794258
11778.184794257757,-0.01289816601628302,2024-11-22,1969517.3999999997,1981295.5847942575
4654.635324457733,-0.0026368854349122506,2024-11-25,1971416.5,1976071.1353244577
4654.635324457733,-0.001974068610318236,2024-11-26,1967515.6,1972170.2353244578
4654.635324457733,0.009788353791286175,2024-11-27,1986819.9000000001,1991474.5353244578
4654.635324457733,-3.806224918045942e-05,2024-11-28,1986744.1,1991398.7353244578
4654.635324457733,0.011622032087023948,2024-11-29,2009888.2,2014542.8353244576
11099.139824457738,0.002933223556424558,2024-12-02,2009352.7999999998,2020451.9398244575
11099.139824457738,-0.0021977261188333985,2024-12-03,2004912.4,2016011.5398244576
11099.139824457738,-0.0010062442401378435,2024-12-04,2002883.8,2013982.9398244577
11099.139824457738,0.0030367188713789073,2024-12-05,2008999.7000000002,2020098.839824458
11099.139824457738,0.0016065055511251813,2024-12-06,2012244.9999999998,2023344.1398244575
4668.640871797805,-0.0036857293852674555,2024-12-09,2011218.0,2015886.6408717977
4668.640871797805,0.00783650215230769,2024-12-10,2027015.5,2031684.1408717977
4668.640871797805,-0.0003088570646275768,2024-12-11,2026388.0,2031056.6408717977
4668.640871797805,0.00618791211780545,2024-12-12,2038956.0,2043624.6408717977
4668.640871797805,-0.006268029727090951,2024-12-13,2026146.5,2030815.1408717977
10539.170871797805,-0.0030797337847869866,2024-12-16,2014021.6,2024560.7708717978
10539.170871797805,-0.0035990522511518686,2024-12-17,2006735.1,2017274.2708717978
10539.170871797805,0.001314744374771415,2024-12-18,2009387.3,2019926.4708717978
10539.170871797805,0.0007837909066643611,2024-12-19,2010970.5,2021509.6708717977
10539.170871797805,0.007894248654827463,2024-12-20,2026928.8000000003,2037467.970871798
5361.546221237833,-0.0052819601605591515,2024-12-23,2021344.6,2026706.146221238
5361.546221237833,0.002594604062263528,2024-12-24,2026603.1,2031964.646221238
5361.546221237833,-0.002782725580642076,2024-12-25,2020948.7,2026310.2462212378
5361.546221237833,0.0017675970432855515,2024-12-26,2024530.4,2029891.9462212378
5361.546221237833,0.003409738145365271,2024-12-27,2031451.8000000003,2036813.3462212381
15092.273285617837,0.000797337206864146,2024-12-30,2023345.1,2038437.373285618
15092.273285617837,-0.013321625847268592,2024-12-31,1996189.8,2011282.0732856179
15092.273285617837,-0.010302881070355596,2025-01-02,1975467.8,1990560.0732856179
15092.273285617837,-0.007709639214590114,2025-01-03,1960121.2999999998,1975213.5732856176
14038.145195537887,-0.002402134206776929,2025-01-06,1956430.7000000002,1970468.8451955381
14038.145195537887,0.010752517123860938,2025-01-07,1977618.1999999997,1991656.3451955377
14038.145195537887,-0.0025172013294830764,2025-01-08,1972604.8,1986642.945195538
14038.145195537887,-0.0013817279076939748,2025-01-09,1969859.8,1983897.945195538
14038.145195537887,-0.007484306355555415,2025-01-10,1955011.6999999997,1969049.8451955377
6629.344849707952,-0.0004739851294810471,2025-01-13,1961487.2,1968116.544849708
6629.344849707952,0.0250672147079416,2025-01-14,2010822.3999999997,2017451.7448497077
6629.344849707952,-0.004222752797804374,2025-01-15,2002303.2000000002,2008932.5448497082
6629.344849707952,-0.0031972701206256504,2025-01-16,1995880.0999999999,2002509.444849708
6629.344849707952,0.003621106516451089,2025-01-17,2003131.4,2009760.744849708
8435.90093792801,0.001345013875481138,2025-01-20,2004028.0,2012463.9009379281
8435.90093792801,0.005578832989137084,2025-01-21,2015255.2,2023691.100937928
8435.90093792801,-0.0033900924883349948,2025-01-22,2008394.7,2016830.600937928
8435.90093792801,-0.003997410588797545,2025-01-23,2000332.5999999999,2008768.500937928
8435.90093792801,0.004699197540977362,2025-01-24,2009772.2,2018208.100937928
6523.536367318244,-0.015199406124846049,2025-01-27,1981009.0,1987532.5363673181
4297.820497238194,0.013409030364167407,2025-02-05,2009885.6,2014183.4204972382
4297.820497238194,0.020303215478709946,2025-02-06,2050780.0000000005,2055077.8204972385
4297.820497238194,0.00621319537033882,2025-02-07,2063548.6,2067846.4204972382
2239.144117288277,0.00719464631056721,2025-02-10,2080484.6999999997,2082723.844117288
2239.144117288277,-0.0053336883962682435,2025-02-11,2069376.1,2071615.2441172884
2239.144117288277,0.013726004421306559,2025-02-12,2097811.1,2100050.2441172884
2239.144117288277,-0.011217303045957139,2025-02-13,2074254.2000000002,2076493.3441172885
2239.144117288277,0.008984473777800872,2025-02-14,2092910.4,2095149.5441172882
13692.352015368262,-0.00030632281295717156,2025-02-17,2080815.4000000001,2094507.7520153683
13692.352015368262,-0.005751184252438035,2025-02-18,2068769.5,2082461.8520153682
13692.352015368262,0.00704896465968563,2025-02-19,2083448.7,2097141.0520153681
13692.352015368262,-0.00793032017756623,2025-02-20,2066817.7,2080510.0520153681
13692.352015368262,0.02800121054140914,2025-02-21,2125074.5000000005,2138766.8520153686
7271.584330388316,-0.003983542047583222,2025-02-24,2122975.4,2130246.9843303883
7271.584330388316,-0.0014665435618406164,2025-02-25,2119851.3,2127122.884330388
7271.584330388316,0.005433301519690348,2025-02-26,2131408.6,2138680.1843303884
7271.584330388316,-0.006929367050099944,2025-02-27,2116588.8999999994,2123860.484330388
7271.584330388316,-0.024529153578759844,2025-02-28,2064492.4000000001,2071763.9843303885
12055.098292768293,-0.00037754591909888724,2025-03-03,2058926.7000000002,2070981.7982927684
12055.098292768293,0.006612757297668859,2025-03-04,2072621.6,2084676.6982927683
12055.098292768293,0.004736465854914718,2025-03-05,2082495.6,2094550.6982927683
12055.098292768293,0.010041914963979659,2025-03-06,2103528.9,2115583.9982927684
12055.098292768293,-0.005189678126162667,2025-03-07,2092549.7000000004,2104604.7982927687
2106.2120817583345,-0.0037979511485930484,2025-03-10,2094505.4,2096611.6120817582
2106.2120817583345,-0.005241552577822661,2025-03-11,2083515.9,2085622.1120817582
2106.2120817583345,0.0034843800120369917,2025-03-12,2090782.9999999998,2092889.212081758
2106.2120817583345,-0.006013314000257841,2025-03-13,2078197.7999999998,2080304.0120817581
2106.2120817583345,0.0027447430600713307,2025-03-14,2083907.7,2086013.9120817583
6175.242534018296,-0.004984084472075434,2025-03-17,2069441.7999999998,2075617.0425340182
6175.242534018296,0.00945087634087427,2025-03-18,2089058.2,2095233.4425340183
6175.242534018296,-0.005076952183015515,2025-03-19,2078420.7999999998,2084596.0425340182
6175.242534018296,-0.008071395923570202,2025-03-20,2061595.2000000002,2067770.4425340185
6175.242534018296,-0.011474387829494281,2025-03-21,2037868.7999999998,2044044.0425340182
12725.364934018293,0.0010267990103569602,2025-03-24,2033417.5,2046142.8649340183
12725.364934018293,-0.010159163544364858,2025-03-25,2012630.4000000001,2025355.7649340185
12725.364934018293,0.00166973134229087,2025-03-26,2016012.2,2028737.5649340183
12725.364934018293,0.004152927488318969,2025-03-27,2024437.4,2037162.7649340183
12725.364934018293,-0.006079975647110936,2025-03-28,2012051.5,2024776.8649340183
14355.382008818313,-0.0031909110762239346,2025-03-31,2003960.6,2018315.9820088183
14355.382008818313,-0.00043714661523008846,2025-04-01,2003078.3,2017433.6820088183
14355.382008818313,-0.00021006886312024964,2025-04-02,2002654.5,2017009.8820088182
14355.382008818313,-0.0034725660307742823,2025-04-03,1995650.3,2010005.6820088183
12895.894229498343,-0.035297406576688894,2025-04-07,1926161.7999999998,1939057.694229498
12895.894229498343,-0.009067961233090949,2025-04-08,1908578.5,1921474.3942294982
12895.894229498343,0.005159111164723784,2025-04-09,1918491.6,1931387.4942294983
12895.894229498343,0.010187028785670682,2025-04-10,1938166.7000000002,1951062.5942294984
12895.894229498343,0.0022867026476727226,2025-04-11,1942628.2000000002,1955524.0942294984
1444.9500658781035,0.003085697514127128,2025-04-14,1960113.2999999998,1961558.250065878
1444.9500658781035,-0.003884513753157348,2025-04-15,1952493.5999999996,1953938.5500658778
1444.9500658781035,0.010951675015203888,2025-04-16,1973892.5,1975337.4500658782
1444.9500658781035,0.003907534887136688,2025-04-17,1981611.2000000002,1983056.1500658784
1444.9500658781035,-0.0030695550399810756,2025-04-18,1975524.1,1976969.0500658783
11841.870454408228,0.012223873908256078,2025-04-21,1989293.4000000001,2001135.2704544084
11841.870454408228,0.004648311454671372,2025-04-22,1998595.3,2010437.1704544083
11841.870454408228,-0.014657757244579517,2025-04-23,1969126.8,1980968.6704544083
11841.870454408228,-0.004771302111422071,2025-04-24,1959675.0,1971516.8704544082
11841.870454408228,-3.5708545564561156e-05,2025-04-25,1959604.6,1971446.4704544083
12307.231532798207,-0.004906417225409299,2025-04-28,1949466.5000000002,1961773.7315327984
