amount,code,date,fees,price,reason,requested_amount,side,status,value
700,510060.XSHG,2015-02-09,5.0,1.6336319999999998,,700,buy,filled,1143.5423999999998
204700,159905.XSHE,2015-02-09,52.06628426999999,0.8478469999999999,,204700,buy,filled,173554.28089999998
3100,510230.XSHG,2015-02-16,5.0,0.864135,,3100,sell,filled,2678.8185
1300,510060.XSHG,2015-02-16,5.0,1.703295,,1300,sell,filled,2214.2835
13800,159905.XSHE,2015-02-16,5.0,0.892107,,13800,sell,filled,12311.0766
200,511010.XSHG,2015-02-16,6.20948328,103.491388,,200,buy,filled,20698.2776
100,511010.XSHG,2015-02-25,5.0,103.26663,,100,sell,filled,10326.663
400,510060.XSHG,2015-02-25,5.0,1.71828,,400,sell,filled,687.312
900,510230.XSHG,2015-02-25,5.0,0.8668659999999999,,900,buy,filled,780.1793999999999
10600,159905.XSHE,2015-02-25,5.0,0.9069059999999999,,10600,buy,filled,9613.203599999999
2700,510230.XSHG,2015-03-02,5.0,0.877122,,2700,sell,filled,2368.2293999999997
2600,510060.XSHG,2015-03-02,5.0,1.75824,,2600,sell,filled,4571.424
15100,159905.XSHE,2015-03-02,5.0,0.9200790000000001,,15100,sell,filled,13893.192900000002
200,511010.XSHG,2015-03-02,6.196510319999999,103.27517199999998,,200,buy,filled,20655.034399999997
100,511010.XSHG,2015-03-09,5.0,102.544353,,100,sell,filled,10254.435300000001
186400,159905.XSHE,2015-03-09,49.94248751999999,0.8931060000000001,,186400,sell,filled,166474.9584
4600,510060.XSHG,2015-03-09,5.0,1.6876859999999998,,4600,buy,filled,7763.355599999999
19500,510230.XSHG,2015-03-09,5.0,0.8258249999999998,,19500,buy,filled,16103.587499999996
129200,159903.XSHE,2015-03-09,46.32571943999999,1.1951939999999999,,129200,buy,filled,154419.0648
1400,511010.XSHG,2015-03-16,43.18988688,102.83306400000001,,1400,sell,filled,143966.28960000002
9600,510060.XSHG,2015-03-16,5.020574399999999,1.743255,,9600,sell,filled,16735.248
129200,159903.XSHE,2015-03-16,47.58840396,1.2277710000000002,,129200,sell,filled,158628.01320000002
32000,510230.XSHG,2015-03-16,8.437228799999998,0.8788779999999999,,32000,buy,filled,28124.095999999998
143100,159901.XSHE,2015-03-16,87.53585840999997,2.0390369999999995,,143100,buy,filled,291786.19469999993
700,511010.XSHG,2015-03-23,21.550677749999995,102.62227499999999,,700,sell,filled,71835.59249999998
143100,159901.XSHE,2015-03-23,93.10782896999997,2.1688289999999997,,143100,sell,filled,310359.42989999993
27800,510230.XSHG,2015-03-23,7.905877979999998,0.9479469999999999,,27800,buy,filled,26352.926599999995
4200,510060.XSHG,2015-03-23,5.0,1.8868849999999997,,4200,buy,filled,7924.916999999999
60300,510500.XSHG,2015-03-23,103.0350321,5.69569,,60300,buy,filled,343450.107
262000,510230.XSHG,2015-03-30,73.3389876,0.9330660000000001,,262000,sell,filled,244463.29200000002
8600,510060.XSHG,2015-03-30,5.0,1.916915,,8600,buy,filled,16485.469
60700,510420.XSHG,2015-03-30,31.662400769999998,1.738737,,60700,buy,filled,105541.3359
7500,510500.XSHG,2015-03-30,13.418905499999997,5.963958,,7500,buy,filled,44729.685
800,511010.XSHG,2015-03-30,24.668804159999993,102.78668399999998,,800,buy,filled,82229.34719999999
3500,510060.XSHG,2015-04-07,5.0,1.98801,,3500,sell,filled,6958.035
2300,510500.XSHG,2015-04-07,5.0,6.43356,,2300,sell,filled,14797.188
12700,510420.XSHG,2015-04-07,6.906809909999999,1.8128109999999997,,12700,buy,filled,23022.699699999997
8400,510420.XSHG,2015-04-13,5.0,1.88811,,8400,sell,filled,15860.124
9500,510060.XSHG,2015-04-13,6.019513499999998,2.1121099999999995,cash_limited,21400,buy,partial,20065.044999999995
3600,510060.XSHG,2015-04-20,5.0,2.38761,,3600,sell,filled,8595.396
65500,510500.XSHG,2015-04-20,126.20352015,6.4225710000000005,,65500,sell,filled,420678.40050000005
65000,510420.XSHG,2015-04-20,38.766194999999996,1.98801,,65000,sell,filled,129220.65000000001
23500,510130.XSHG,2015-04-20,33.67624259999999,4.776771999999999,,23500,buy,filled,112254.14199999998
84300,510290.XSHG,2015-04-20,49.94706716999999,1.9749729999999999,,84300,buy,filled,166490.22389999998
2700,511010.XSHG,2015-04-20,83.38370039999998,102.94283999999999,,2700,buy,filled,277945.66799999995
2800,511010.XSHG,2015-04-27,86.51655684,102.995901,,2800,sell,filled,288388.52280000004
39200,510060.XSHG,2015-04-27,27.8402124,2.367365,,39200,buy,filled,92800.708
54700,510290.XSHG,2015-04-27,33.96981588,2.070068,,54700,buy,filled,113232.7196
15100,510130.XSHG,2015-04-27,22.717995299999995,5.015009999999999,,15100,buy,filled,75726.65099999998
13800,510060.XSHG,2015-05-04,10.079090819999998,2.434563,,13800,sell,filled,33596.969399999994
139000,510290.XSHG,2015-05-04,86.3159976,2.069928,,139000,sell,filled,287719.992
8200,510130.XSHG,2015-05-04,12.568395839999997,5.109103999999999,,8200,buy,filled,41894.652799999996
208500,510160.XSHG,2015-05-04,48.39950114999999,0.7737729999999999,,208500,buy,filled,161331.67049999998
1100,511010.XSHG,2015-05-04,34.30278851999999,103.94784399999999,,1100,buy,filled,114342.62839999999
46800,510130.XSHG,2015-05-11,69.9895404,4.98501,,46800,sell,filled,233298.468
61900,510160.XSHG,2015-05-11,13.532478959999997,0.7287279999999999,,61900,buy,filled,45108.263199999994
4900,510060.XSHG,2015-05-11,5.0,2.303301,,4900,buy,filled,11286.1749
26900,510120.XSHG,2015-05-11,31.989157199999994,3.9639599999999997,,26900,buy,filled,106630.52399999999
700,511010.XSHG,2015-05-11,21.745804079999996,103.55144799999998,,700,buy,filled,72486.01359999999
200,511010.XSHG,2015-05-18,6.22099278,103.68321300000001,,200,sell,filled,20736.642600000003
1700,510060.XSHG,2015-05-18,5.0,2.286711,,1700,sell,filled,3887.4087
30800,510160.XSHG,2015-05-18,6.714948239999999,0.7267259999999999,,30800,buy,filled,22383.160799999998
1000,510120.XSHG,2015-05-18,5.0,4.07407,,1000,buy,filled,4074.0699999999997
1800,511010.XSHG,2015-05-25,55.8422019,103.411485,,1800,sell,filled,186140.673
147400,510060.XSHG,2015-05-25,106.28692667999998,2.403594,,147400,sell,filled,354289.7556
54200,510160.XSHG,2015-05-25,12.65387346,0.778221,,54200,sell,filled,42179.5782
27900,510120.XSHG,2015-05-25,36.03862529999999,4.305689999999999,,27900,sell,filled,120128.75099999997
87700,159915.XSHE,2015-05-25,86.14607000999999,3.2742709999999997,,87700,buy,filled,287153.56669999997
52200,510500.XSHG,2015-05-25,125.32690169999996,8.002994999999999,,52200,buy,filled,417756.3389999999
43000,510160.XSHG,2015-06-01,9.652437899999999,0.748251,,43000,sell,filled,32174.793
8300,159915.XSHE,2015-06-01,8.452558980000001,3.3946020000000003,,8300,sell,filled,28175.196600000003
9100,510500.XSHG,2015-06-01,22.65543189,8.298693,,9100,sell,filled,75518.1063
1300,511010.XSHG,2015-06-01,40.17971957999999,103.02492199999999,,1300,buy,filled,133932.3986
800,511010.XSHG,2015-06-08,24.796458719999997,103.318578,,800,sell,filled,82654.8624
204000,510160.XSHG,2015-06-08,50.68406519999999,0.828171,,204000,sell,filled,168946.884
2500,510500.XSHG,2015-06-08,6.91632675,9.221769,,2500,sell,filled,23054.4225
1000,159915.XSHE,2015-06-08,5.0,3.6536499999999994,,1000,buy,filled,3653.649999999999
125300,510260.XSHG,2015-06-08,80.71118054999998,2.1471449999999996,,125300,buy,filled,269037.26849999995
2200,159915.XSHE,2015-06-15,5.0,3.708288,,2200,sell,filled,8158.2336000000005
2200,510500.XSHG,2015-06-15,6.412081499999999,9.715275,,2200,sell,filled,21373.605
1800,510260.XSHG,2015-06-15,5.0,2.1311289999999996,,1800,buy,filled,3836.032199999999
300,511010.XSHG,2015-06-15,9.28305378,103.14504199999999,,300,buy,filled,30943.5126
9300,159915.XSHE,2015-06-23,8.7797115,3.1468499999999997,,9300,sell,filled,29265.704999999998
4800,510500.XSHG,2015-06-23,11.976011999999999,8.316675,,4800,sell,filled,39920.04
127100,510260.XSHG,2015-06-23,68.565366,1.7982,,127100,sell,filled,228551.22
55400,510440.XSHG,2015-06-23,48.26283461999999,2.9039009999999994,,55400,buy,filled,160876.11539999998
1300,511010.XSHG,2015-06-23,40.049329319999984,102.69058799999998,,1300,buy,filled,133497.76439999996
100,511010.XSHG,2015-06-29,5.0,102.70719,,100,sell,filled,10270.719
1200,159915.XSHE,2015-06-29,5.0,2.75724,,1200,sell,filled,3308.688
3900,510500.XSHG,2015-06-29,8.834017139999998,7.550441999999999,,3900,sell,filled,29446.723799999996
15600,510440.XSHG,2015-06-29,12.095843759999998,2.5845819999999997,,15600,buy,filled,40319.479199999994
9100,159915.XSHE,2015-07-06,7.363629,2.6973000000000003,,9100,sell,filled,24545.430000000004
