symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SH603866,2019-08-19,2019-09-09,closed,right,203.76769465125201,108817.60315856934,108197.24281550557,-620.360343063774,173.30169660772805,-793.662039671502,-0.007281910731231103,21.0,True,1,exit_resonance
SH600004,2019-08-26,2019-09-18,closed,right,204.54925813755523,109572.00137329102,119206.22586554523,9634.224492254216,187.83969403719613,9446.38479821702,0.08606412606248652,23.0,True,1,exit_resonance
SH600276,2019-08-26,2019-09-12,closed,right,203.450489514039,106486.80726318358,110079.30782315588,3592.5005599722936,175.04914234905772,3417.451417623236,0.03204005192474758,17.0,True,1,exit_resonance
SH600763,2019-08-26,2019-09-06,closed,right,204.79520649198145,106812.20671386718,106309.27617938137,-502.93053448581486,170.24572104735591,-673.1762555331708,-0.006292398801969084,11.0,True,1,exit_resonance
SH600886,2019-08-26,2019-09-06,closed,right,207.16907920999336,110707.5900970459,113020.49817371105,2312.908076665146,180.13892465493814,2132.769152010208,0.01923359032443367,11.0,True,1,exit_resonance
SH603517,2019-08-26,2019-09-10,closed,right,201.97133793233743,110553.8079650879,118065.88170106459,7512.073735976694,186.65178860091032,7325.421947375783,0.06614946302073457,15.0,True,1,exit_resonance
SZ002120,2019-08-26,2019-09-09,closed,right,206.9879204568406,108066.00137329103,111337.81695622533,3271.8155829343013,177.15896245508023,3094.656620479221,0.028589858341906197,14.0,True,1,exit_resonance
SZ002821,2019-08-26,2019-09-06,closed,right,204.68905884657738,111002.0,109559.05110355816,-1442.9488964418415,175.7273664346256,-1618.676262876467,-0.01455935735708479,11.0,True,1,exit_resonance
SH603259,2019-09-02,2019-09-09,closed,right,210.45226435685572,112478.59563598632,108496.50479123468,-3982.0908447516413,174.789034919401,-4156.8798796710425,-0.03689973356605781,7.0,True,1,exit_resonance
SZ002352,2019-09-02,2019-09-06,closed,right,208.27311900836835,112001.3987640381,107740.59699593108,-4260.80176810702,173.66319572392183,-4434.464963830941,-0.03953164710906614,4.0,True,1,exit_resonance
SH600741,2019-09-09,2019-09-16,closed,right,206.55171273376683,112238.60164031982,107138.26932587847,-5100.332314441344,172.95133061573796,-5273.283645057082,-0.046910513249652466,7.0,True,1,exit_resonance
SH603198,2019-09-09,2019-09-17,closed,right,204.31627454324425,111446.39565124511,107599.08884250428,-3847.306808740832,173.3127341906291,-4020.619542931461,-0.03602069563779721,8.0,True,1,exit_resonance
SZ000661,2019-09-09,2019-10-16,closed,right,202.6581442557497,108183.59560546876,119019.7080536739,10836.112448205138,187.1806991514167,10648.931749053721,0.09826386884154603,37.0,True,1,exit_resonance
SH601318,2019-09-16,2019-09-23,closed,right,200.9217824828679,110762.39450683593,107553.61613905552,-3208.778367780411,173.04841933282296,-3381.826787113234,-0.030484637712799797,7.0,True,1,exit_resonance
SZ300408,2019-09-16,2019-09-19,closed,right,202.46603927654036,110476.19922180175,103104.04290922443,-7372.156312577325,167.17811554853228,-7539.334428125857,-0.06814085587010345,3.0,True,1,exit_resonance
SH600031,2019-09-23,2019-09-25,closed,right,203.92036680782527,110265.0057220459,107010.65756220317,-3254.3481598427315,172.1933565474779,-3426.5415163902094,-0.031027059224416658,2.0,False,0,exit_resonance
SH603160,2019-09-30,2019-10-09,closed,right,214.56748867278708,110500.99237060547,95542.91446110464,-14958.077909500833,157.35608651061767,-15115.43399601145,-0.13659551409145784,9.0,False,0,exit_hard_stop
SZ300316,2019-09-30,2019-10-18,closed,right,206.17454369792327,110974.60556945801,108615.87223281995,-2358.7333366380626,174.49301557350333,-2533.226352211566,-0.022791245133433013,18.0,False,0,exit_resonance
SH600763,2019-10-08,2019-10-24,closed,right,205.9415226397539,102502.0,106767.10919438707,4265.109194387071,169.54784195270318,4095.5613524343676,0.039889934831204295,16.0,True,1,exit_resonance
SZ002812,2019-10-08,2019-10-18,closed,right,200.0239478306829,106758.40195312501,108362.43440028859,1604.0324471635831,172.8986853063127,1431.1337618572704,0.013383674876417973,10.0,True,1,exit_resonance
SH601009,2019-10-14,2019-10-24,closed,right,203.20199144811392,110134.19307632447,108699.9488230075,-1434.2442533169815,174.35019139280706,-1608.5944447097886,-0.014582682329561298,10.0,True,1,exit_resonance
