symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SZ159861,3019.119299999993,0.007712046411359925,10,0.3317821518057854,0.337374921655337,0.0011815603696787229,0.001631669209583551
SZ159985,2967.783400000051,-0.009828152990029882,198,0.4622006453195652,0.9999982287971159,0.03259107114432831,0.001603924957352059
SZ159981,2935.4763000000025,0.008606017922463714,10,0.3415206245022614,0.3518826975988655,0.0012162415402502188,0.0015864647330008663
SH516520,2881.72570000001,0.010836038083933816,35,0.3298743192674774,0.3457360465911794,0.004111681329900894,0.001557415467204503
SH510160,2675.8207000000025,0.01168657620183989,25,0.33275129205526427,0.33814505536013595,0.002962529309608834,0.0014461350522174856
SH510060,2404.9540999999863,0.011506666606625639,15,0.3064789041707436,0.34026912677232857,0.0016371736333907242,0.001299746437787903
SH516980,2153.8048000000026,0.005580381055024945,5,0.32574318469479746,0.3328065485792685,0.000580027038274212,0.0011640139479129792
SZ159889,1913.5000000000018,0.005340827120650777,5,0.32591141554305036,0.3280105129550634,0.0005803265946279387,0.001034142318436418
SZ159967,1260.5422000000262,0.0030827472969794725,35,0.32846612764233607,0.34356754104790144,0.004094129083861026,0.0006812542634935817
SZ159883,1070.0989999999838,0.003752614842361604,5,0.3345638080249234,0.3356047278783649,0.0005957332763976556,0.0005783301075602166
SH516620,1016.5088000000014,0.002744698936202031,5,0.3336140515450299,0.3359702214332639,0.0005940421145744834,0.0005493675292098362
SH561160,978.2720000000012,0.0022136003698019447,5,0.33156021353973786,0.33411727030573724,0.0005903849956191914,0.0005287026256291777
SZ159730,923.6048000000006,0.002945225323187277,5,0.3329614514889105,0.3354715095995173,0.0005928800774375187,0.0004991579875573576
SH513360,833.6256000000005,0.0023875623696401455,5,0.3311741243277693,0.33714129408991794,0.000589697514828649,0.00045052914068040225
SZ159881,786.6398000000003,0.001181346982803776,10,0.32905390470391727,0.33033375756067596,0.0011718443899712155,0.00042513588008693994
SZ159920,733.583799999991,0.002495615049179347,70,0.31753585686521607,0.3874933171550254,0.007915779907608663,0.00039646200768193754
SH513160,731.1976000000004,0.002413614613375763,5,0.33843053178423566,0.340719178105012,0.0006026184682767729,0.00039517239681167716
SH510210,517.1457000000014,0.0038983783563527443,10,0.33881413306993224,0.34313104716264425,0.0012066030379983342,0.0002794890270015287
SZ159807,499.50320000000056,0.0014078314666701353,5,0.33429553980588816,0.3364301871045502,0.0005952555908224505,0.0002699542186121818
SH561330,262.63600000000065,0.0006649620947264947,5,0.33037646236197904,0.33082997152748145,0.0005882771765704756,0.00014194042432446693
SH589720,260.7446000000007,0.001594175386592636,10,0.3216813200953875,0.33664665299627394,0.0011455887467784456,0.00014091822584989645
SZ159507,194.60250000002702,0.0005475028915423172,5,0.3025547103974603,0.3224531085982856,0.0005387370199384976,0.0001051720305845575
SH512770,124.41279999998227,0.0006008144866323856,5,0.3338120438534754,0.3351003773309924,0.0005943946649812597,6.723832842181757e-05
SZ159720,-22.68059999999994,0.0003230041661969199,15,0.340925009100943,0.3500243577362354,0.0018211806041717041,0.0
SZ159697,-130.17050000001404,-0.0002897532242700305,5,0.33773265863797886,0.3395150011125198,0.0006013758166630677,0.0
SH510110,-191.34879999999612,0.0013186990737611044,15,0.3304279618144508,0.3369021583285425,0.001765106633624203,0.0
SH513850,-310.99199999999973,-0.0004665636634482856,5,0.329708166499152,0.3318503207034638,0.0005870871910597437,0.0
SH510650,-323.5959999999958,0.0006301869578575975,5,0.33180755365890874,0.3331872721492486,0.0005908254160593104,0.0
SZ159997,-341.95199999998704,-0.003459026143883069,15,0.3313753854297962,0.33832883625942317,0.00177016765721045,0.0
SH518680,-429.0227000000108,-0.0011909904576360081,15,0.3250152358816783,0.3405007147125353,0.0017361924993679397,0.0
SH512870,-563.816,-0.0015174908843601023,5,0.3380288903662567,0.34051924415384616,0.0006019032948117107,0.0
SH510220,-592.2650999999992,-0.0020096822418064733,5,0.3357545593681319,0.3383236927613557,0.00059785356012844,0.0
SH520830,-608.0949999999993,-0.0007055927840664365,5,0.9998901658441735,0.9998914070578103,0.0017804312069874884,0.0
SZ159366,-768.6743999999763,-0.00206278361951906,10,0.33309593544058025,0.33920639403655145,0.0011862390863268527,0.0
SZ159142,-892.3200000000006,-0.0009483377455090807,5,0.3358844999473568,0.34192734799674585,0.000598084935803698,0.0
SH515000,-927.9410000000008,-0.0021452407285235723,5,0.3323149396608915,0.33344140327358884,0.000591728881162556,0.0
SH515450,-1233.738099999991,-0.003698200523280861,10,0.3323716333232322,0.33814972098678786,0.0011836596628320235,0.0
SZ159822,-1422.6123000000011,-0.001472420853529213,10,0.3352389408736011,0.3423159708654731,0.001193870872056984,0.0
SH513730,-1550.6412000000014,-0.003967004690725584,10,0.3356251381855586,0.3413940386453098,0.0011952462186095392,0.0
SH516950,-1554.4331999999824,-0.005163883848406228,10,0.3325870247134976,0.3452117923310008,0.0011844267261876696,0.0
SH561100,-1611.3057000000165,-0.0077693720215033365,15,0.3329579549539725,0.3449942223840134,0.0017786215542413063,0.0
SH515170,-1667.2500000000007,-0.004007231860889577,10,0.32978492383996605,0.33087448539222786,0.0011744477344728136,0.0
SH510880,-1784.9278797553402,-0.008705903610934502,115,0.3251455323566675,0.4993606164968689,0.013316145377854973,0.0
