trade_date,observation_date,rebalance,cash_before,drift_l1,available_count,weights_json,volatilities_json
2015-07-03,2015-07-02,True,2721.3312871319918,0.12227479395475252,7,"{""SH511010"": 0.27827863369505434, ""SH513100"": 0.2677363074947643, ""SH513500"": 0.2434577962258446, ""SH518880"": 0.13917358202987598, ""SZ159928"": 0.016596851049294536, ""SZ161005"": 0.030361846867626587, ""SZ163412"": 0.024394982637539617}","{""SH511010"": 3.761161615542704, ""SH513100"": 10.501199843417334, ""SH513500"": 7.78692007447017, ""SH518880"": 7.521397158620944, ""SZ159928"": 54.45077742134592, ""SZ161005"": 31.183758999708218, ""SZ163412"": 40.170909979623964}"
2015-07-10,2015-07-09,True,4711.031287131991,0.1524901112188405,7,"{""SH511010"": 0.2962702157377371, ""SH513100"": 0.26543038822564624, ""SH513500"": 0.28765269679144695, ""SH518880"": 0.08304229977959283, ""SZ159928"": 0.013784262960050083, ""SZ161005"": 0.02948310809630193, ""SZ163412"": 0.024337028409224973}","{""SH511010"": 4.507091633323071, ""SH513100"": 13.040543590590437, ""SH513500"": 8.857716854270713, ""SH518880"": 12.039423692066533, ""SZ159928"": 73.87604146709168, ""SZ161005"": 39.12770576245293, ""SZ163412"": 49.72864320322444}"
2015-07-17,2015-07-16,True,5811.931287131991,0.22422294875241605,7,"{""SH511010"": 0.3269349304906582, ""SH513100"": 0.22464183314851544, ""SH513500"": 0.24890429736817893, ""SH518880"": 0.13153563478768437, ""SZ159928"": 0.013630385526185233, ""SZ161005"": 0.03023632628820366, ""SZ163412"": 0.02411659239057424}","{""SH511010"": 4.92613606238057, ""SH513100"": 16.275051804320192, ""SH513500"": 10.932928341849545, ""SH518880"": 10.983236883943166, ""SZ159928"": 85.29783374151043, ""SZ161005"": 44.36118974608928, ""SZ163412"": 57.35603136502535}"
2015-07-24,2015-07-23,True,11186.231287131992,0.15687832667670235,7,"{""SH511010"": 0.3387414040459797, ""SH513100"": 0.21108211691608225, ""SH513500"": 0.2639968452866501, ""SH518880"": 0.10513580469557139, ""SZ159928"": 0.016352582138728377, ""SZ161005"": 0.03558629083579972, ""SZ163412"": 0.02910495608118854}","{""SH511010"": 5.204182920961613, ""SH513100"": 18.054755267821605, ""SH513500"": 11.4157108523416, ""SH518880"": 13.210716447527401, ""SZ159928"": 83.74300321494718, ""SZ161005"": 43.971974207456135, ""SZ163412"": 56.14398316056186}"
2015-07-31,2015-07-30,True,2193.0096503528594,0.16861318448040605,7,"{""SH511010"": 0.409226736576093, ""SH513100"": 0.19967003922907928, ""SH513500"": 0.2127505337882633, ""SH518880"": 0.09385985331105827, ""SZ159928"": 0.01704702860088034, ""SZ161005"": 0.037221239486111224, ""SZ163412"": 0.030224569008514612}","{""SH511010"": 4.901493918883424, ""SH513100"": 19.216958328715876, ""SH513500"": 13.16408788368374, ""SH518880"": 14.473898760937134, ""SZ159928"": 84.9065373582442, ""SZ161005"": 44.50877939486639, ""SZ163412"": 57.033550695623994}"
2015-08-07,2015-08-06,True,10913.709650352861,1.80401928728904,8,"{""SH511010"": 0.023483719927037624, ""SH512010"": 0.9436842885384453, ""SH513100"": 0.010796540519857836, ""SH513500"": 0.012287955368515416, ""SH518880"": 0.004988696949914904, ""SZ159928"": 0.0009431926283325169, ""SZ161005"": 0.0020834698238768206, ""SZ163412"": 0.0017321362440194503}","{""SH511010"": 4.8515083895063205, ""SH512010"": 2.420175558071778, ""SH513100"": 19.595148316634525, ""SH513500"": 12.987813810032264, ""SH518880"": 14.886125272172851, ""SZ159928"": 85.58842615989282, ""SZ161005"": 44.60640849006375, ""SZ163412"": 56.48969218516174}"
2015-08-14,2015-08-13,True,4005.8824826088385,1.607925680335456,8,"{""SH511010"": 0.42794463256310505, ""SH512010"": 0.1542711889549866, ""SH513100"": 0.12235507345429977, ""SH513500"": 0.16583896789115557, ""SH518880"": 0.049385665937588696, ""SZ159928"": 0.016112931446125953, ""SZ161005"": 0.03470373635617145, ""SZ163412"": 0.029387803396566832}","{""SH511010"": 4.712657431496862, ""SH512010"": 24.820884294971723, ""SH513100"": 24.13677844651976, ""SH513500"": 14.659933629806513, ""SH518880"": 19.61887969376552, ""SZ159928"": 85.86721754924913, ""SZ161005"": 45.32128107854797, ""SZ163412"": 56.86906664149824}"
2015-08-21,2015-08-20,True,1840.6229314822726,0.17834677894769824,8,"{""SH511010"": 0.4813249788109649, ""SH512010"": 0.0694707018119001, ""SH513100"": 0.13010598929625725, ""SH513500"": 0.17057603339520333, ""SH518880"": 0.05057745525044879, ""SZ159928"": 0.018804145582699106, ""SZ161005"": 0.04367013955125034, ""SZ163412"": 0.03547055630127617}","{""SH511010"": 4.597575795978779, ""SH512010"": 38.26901241901095, ""SH513100"": 24.217543305247183, ""SH513500"": 14.95563048497353, ""SH518880"": 20.057860593754768, ""SZ159928"": 82.23871240539913, ""SZ161005"": 41.800977701093785, ""SZ163412"": 53.55673561696184}"
2015-08-28,2015-08-27,True,8409.322931482273,0.32483196746071846,8,"{""SH511010"": 0.5983442269806759, ""SH512010"": 0.030106335953360947, ""SH513100"": 0.08705172942586938, ""SH513500"": 0.11240276981893554, ""SH518880"": 0.05753305124347059, ""SZ159928"": 0.02204212336683176, ""SZ161005"": 0.049167044098638014, ""SZ163412"": 0.04335271911221785}","{""SH511010"": 4.555068292879407, ""SH512010"": 64.2157402718395, ""SH513100"": 32.704866081405385, ""SH513500"": 20.35155380592135, ""SH518880"": 20.77431628536206, ""SZ159928"": 83.90710503870076, ""SZ161005"": 43.51750893469038, ""SZ163412"": 53.51336664224733}"
2015-09-11,2015-09-10,True,10301.164411788432,0.22301728182984498,8,"{""SH511010"": 0.609349046595229, ""SH512010"": 0.024996567303624814, ""SH513100"": 0.05725558555789018, ""SH513500"": 0.07575109580210311, ""SH518880"": 0.05660500453133854, ""SZ159928"": 0.03552678078762963, ""SZ161005"": 0.06523951078420491, ""SZ163412"": 0.07527640863797974}","{""SH511010"": 3.71310935417904, ""SH512010"": 57.973646957534974, ""SH513100"": 33.17359277412349, ""SH513500"": 20.39351007422628, ""SH518880"": 17.228933345017136, ""SZ159928"": 54.36856696458009, ""SZ161005"": 31.077501176803214, ""SZ163412"": 33.40729885078507}"
2015-09-18,2015-09-17,True,11035.764411788432,0.25210524774392795,8,"{""SH511010"": 0.6962439203823695, ""SH512010"": 0.01851720258589596, ""SH513100"": 0.04689351735210468, ""SH513500"": 0.05959626673082888, ""SH518880"": 0.05382546089818682, ""SZ159928"": 0.026216956234653564, ""SZ161005"": 0.048177646435973026, ""SZ163412"": 0.05052902937998757}","{""SH511010"": 3.0982841724011663, ""SH512010"": 60.07783411824846, ""SH513100"": 32.69461167743341, ""SH513500"": 20.507280069029974, ""SH518880"": 15.758797524853, ""SZ159928"": 56.450244637301296, ""SZ161005"": 32.255947088491595, ""SZ163412"": 36.36900992911988}"
2015-09-25,2015-09-24,True,11155.675994580395,0.14710503798202168,8,"{""SH511010"": 0.730602920297645, ""SH512010"": 0.017259165932970468, ""SH513100"": 0.03874936322611984, ""SH513500"": 0.05065733191978198, ""SH518880"": 0.04542129337401904, ""SZ159928"": 0.0250670663258986, ""SZ161005"": 0.04437734820112586, ""SZ163412"": 0.047865510722439185}","{""SH511010"": 2.7321599723169703, ""SH512010"": 56.21302079764171, ""SH513100"": 32.48966047958608, ""SH513500"": 20.09283898844895, ""SH518880"": 15.496444878836735, ""SZ159928"": 52.14949145934597, ""SZ161005"": 30.359651672447498, ""SZ163412"": 33.75479522777828}"
2015-10-09,2015-10-08,True,4607.309651237978,0.13441171824068618,8,"{""SH511010"": 0.7851034240158027, ""SH512010"": 0.015018797211101581, ""SH513100"": 0.02944591644230133, ""SH513500"": 0.029886737947004558, ""SH518880"": 0.03678863711374044, ""SZ159928"": 0.0227564140951739, ""SZ161005"": 0.03839789982141752, ""SZ163412"": 0.04260217335345802}","{""SH511010"": 2.4518628459630043, ""SH512010"": 56.058572137793774, ""SH513100"": 34.67190486847896, ""SH513500"": 24.335259651451686, ""SH518880"": 16.018349185407338, ""SZ159928"": 50.91698751746798, ""SZ161005"": 30.362428454560174, ""SZ163412"": 33.28462978188887}"
2015-10-16,2015-10-15,True,11393.409651237978,0.10252698936090142,8,"{""SH511010"": 0.6884407133545657, ""SH512010"": 0.019204624697433524, ""SH513100"": 0.04766174903850828, ""SH513500"": 0.04197703478430323, ""SH518880"": 0.06836405668570013, ""SZ159928"": 0.030609332700306902, ""SZ161005"": 0.049615569995180395, ""SZ163412"": 0.054126918744001815}","{""SH511010"": 2.960652037761511, ""SH512010"": 56.05543523783057, ""SH513100"": 30.81529183898553, ""SH513500"": 23.218298829917305, ""SH518880"": 13.28684064120606, ""SZ159928"": 49.64193673671446, ""SZ161005"": 30.202457397222144, ""SZ163412"": 33.38981314930927}"
2015-10-23,2015-10-22,True,10991.267720422244,0.08704581333806241,8,"{""SH511010"": 0.6625701728132383, ""SH512010"": 0.02100661417475222, ""SH513100"": 0.05064436131656665, ""SH513500"": 0.04516587521236529, ""SH518880"": 0.07345370346538362, ""SZ159928"": 0.03614253288251444, ""SZ161005"": 0.05403441008636202, ""SZ163412"": 0.05698233004881742}","{""SH511010"": 3.09756815729994, ""SH512010"": 55.012170747379116, ""SH513100"": 30.68328783652937, ""SH513500"": 22.97456146833073, ""SH518880"": 13.156639074481749, ""SZ159928"": 46.890247581775924, ""SZ161005"": 29.705183272404025, ""SZ163412"": 33.401556849963235}"
2015-10-30,2015-10-29,True,7567.767720422242,0.20073547955661966,8,"{""SH511010"": 0.5361037107902794, ""SH512010"": 0.032835140819344834, ""SH513100"": 0.06446540942280143, ""SH513500"": 0.0608501765480739, ""SH518880"": 0.07836176884187994, ""SZ159928"": 0.060071365725664475, ""SZ161005"": 0.09541853561431606, ""SZ163412"": 0.07189389223763995}","{""SH511010"": 3.2209412993506525, ""SH512010"": 41.15643748908215, ""SH513100"": 25.437502880752618, ""SH513500"": 18.513644888101737, ""SH518880"": 11.914343011016463, ""SZ159928"": 34.01954261248902, ""SZ161005"": 20.908432485379222, ""SZ163412"": 27.81385706516401}"
