execution_date,symbol,shares,market_value_at_open
2020-06-01,SZ002633,191200,1483231.1153411865
2020-06-01,SZ300405,337300,1483525.417137146
2020-06-01,SZ300535,126800,1483661.432647705
2020-06-01,SZ300665,216000,1483847.7745056152
2020-06-01,SZ300736,168300,1481065.3916358948
2020-07-01,SH600520,193300,1556296.3901519775
2020-07-01,SH600561,333900,1556293.9730644226
2020-07-01,SH600768,163100,1556087.696647644
2020-07-01,SH603269,193200,1556278.385925293
2020-07-01,SZ000929,240500,1555899.513244629
2020-07-01,SZ002209,256200,1556177.8275489807
2020-07-01,SZ002633,197500,1555890.5482292175
2020-07-01,SZ300405,355600,1556419.6054458618
2020-07-01,SZ300535,129700,1556400.4947662354
2020-07-01,SZ300665,217900,1552996.5426445007
2020-08-03,SH600365,499200,1718361.4471435547
2020-08-03,SH600520,189400,1717652.9317855835
2020-08-03,SH600561,338200,1718182.2457313538
2020-08-03,SH600768,161300,1717720.9533691406
2020-08-03,SZ000929,242000,1718195.2457427979
2020-08-03,SZ002209,257200,1718262.1364593506
2020-08-03,SZ002633,199900,1717556.2433242798
2020-08-03,SZ300535,133300,1718314.210510254
2020-08-03,SZ300665,219500,1717888.372182846
2020-08-03,SZ300736,158800,1715320.806503296
2020-09-01,SH600520,199100,1794157.6322555542
2020-09-01,SH600561,341700,1794198.4053611755
2020-09-01,SH600768,168400,1793552.7618408203
2020-09-01,SH600778,334900,1651301.5918254852
2020-09-01,SZ000929,230300,1793682.8359127045
2020-09-01,SZ002209,251200,1793970.9114074707
2020-09-01,SZ002633,185000,1794076.0040283203
2020-09-01,SZ300535,126700,1794226.1604309082
2020-09-01,SZ300665,219500,1956986.7210388184
2020-09-01,SZ300736,158800,1775144.0105438232
2020-10-09,SH600520,213300,1749561.9967460632
2020-10-09,SH600561,357000,1749639.4743919373
2020-10-09,SH600768,180700,1749191.9094085693
2020-10-09,SH603029,151700,1749530.6365013123
2020-10-09,SH603269,199000,1749492.576599121
2020-10-09,SH603286,107200,1749921.0815429688
2020-10-09,SZ000702,318100,1749865.9533977509
2020-10-09,SZ002209,262400,1749836.0321044922
2020-10-09,SZ002633,201800,1741101.392173767
2020-10-09,SZ300665,204600,1749984.2823028564
2020-11-02,SH600355,621100,1758385.0958108902
2020-11-02,SH600506,187100,1758138.6112213135
2020-11-02,SH600520,234000,1757770.41721344
2020-11-02,SH600768,188200,1757975.5868911743
2020-11-02,SH600778,401400,1758469.4884300232
2020-11-02,SH603029,159600,1758496.4881896973
2020-11-02,SH603958,272500,1757908.7328910828
2020-11-02,SZ000695,274200,1758233.4700584412
2020-11-02,SZ000702,338000,1747053.391456604
2020-11-02,SZ002633,198600,1757853.2649993896
2020-12-01,SH600355,634800,1854174.522972107
2020-12-01,SH600455,80500,1852666.7623519897
2020-12-01,SH600520,239800,1854174.0481376648
2020-12-01,SH600561,374600,1854316.906452179
2020-12-01,SH600768,186900,1854162.6236915588
2020-12-01,SH600778,412100,1854110.4400634766
2020-12-01,SH603029,161900,1854026.7128944397
2020-12-01,SH603269,215500,1854202.712059021
2020-12-01,SZ002633,221500,1854303.096294403
2020-12-01,SZ300478,167100,1844824.4708061218
2021-01-04,SH600355,640800,1640522.0609664917
2021-01-04,SH600455,80400,1639713.4117126465
2021-01-04,SH600520,241200,1640178.6781311035
2021-01-04,SH600561,367800,1640510.6051445007
2021-01-04,SH600615,244800,1640168.357849121
2021-01-04,SH600768,186800,1640267.6666259766
2021-01-04,SH600778,410000,1640322.5803375244
2021-01-04,SH603029,165100,1639671.0403442383
2021-01-04,SZ002633,224200,1616757.9352378845
2021-01-04,SZ300478,167100,1664242.2231674194
2021-02-01,SH600355,678500,1390665.0080680847
2021-02-01,SH600520,211600,1390440.7737731934
2021-02-01,SH600768,182900,1390226.6194820404
2021-02-01,SH600778,417600,1390673.8792419434
2021-02-01,SH603029,163400,1390244.3487167358
2021-02-01,SZ000007,537000,1390657.3684215546
2021-02-01,SZ002633,235600,1390128.9979934692
2021-02-01,SZ002862,167500,1390692.8324699402
2021-02-01,SZ300478,166500,1390559.4506263733
2021-02-01,SZ300736,197600,1385051.6708374023
2021-03-01,SH600355,713400,1555060.3292942047
2021-03-01,SH600520,220900,1554977.5702476501
2021-03-01,SH600768,205100,1554473.045873642
2021-03-01,SH600778,429700,1555039.4095420837
2021-03-01,SH603029,181300,1554884.5129013062
2021-03-01,SH603269,226500,1555106.1623096466
2021-03-01,SH603813,126200,1555124.803161621
2021-03-01,SZ002633,242300,1555065.8560276031
2021-03-01,SZ300478,183300,1554907.9919815063
2021-03-01,SZ300736,200100,1550701.3395309448
2021-04-01,SH600355,699900,1582156.9580554962
2021-04-01,SH600520,231600,1582159.3992233276
2021-04-01,SH600768,192000,1582001.220703125
2021-04-01,SH600778,433500,1582207.8609466553
2021-04-01,SH603269,227700,1582120.8263397217
2021-04-01,SZ000609,431100,1582196.5438127518
2021-04-01,SZ002633,249500,1582063.934803009
2021-04-01,SZ002862,165000,1582070.7178115845
2021-04-01,SZ300478,193800,1582025.8306503296
2021-04-01,SZ300736,214300,1577702.8594017029
2021-05-06,SH600355,705100,1558015.333199501
2021-05-06,SH600455,88900,1557923.8014221191
2021-05-06,SH600520,230400,1557591.064453125
2021-05-06,SH600768,194500,1558063.5724067688
2021-05-06,SH603029,167700,1557418.8148498535
2021-05-06,SH603269,227400,1558037.8306388855
2021-05-06,SH603813,23000,287196.44832611084
2021-05-06,SZ000609,431100,1267750.593996048
2021-05-06,SZ002633,232100,1557594.5381641388
2021-05-06,SZ300478,191100,1557928.3816337585
2021-05-06,SZ300736,211400,1557959.7114562988
2021-06-01,SH600455,93900,1705019.9907302856
2021-06-01,SH600520,233500,1704827.5074958801
2021-06-01,SH600561,413800,1705168.8945770264
2021-06-01,SH600768,205900,1704816.9926643372
2021-06-01,SH603029,181500,1704525.486946106
2021-06-01,SH603269,239500,1704951.3828754425
2021-06-01,SH603389,390100,1705389.121055603
2021-06-01,SH603813,129200,1704309.8499298096
2021-06-01,SZ002633,244700,1701301.6872882843
2021-06-01,SZ300478,187400,1705118.4604644775
2021-07-01,SH600455,101000,1813139.0590667725
2021-07-01,SH600561,436800,1813921.8315124512
2021-07-01,SH600768,212600,1813632.034111023
2021-07-01,SH603029,181900,1813831.5347671509
2021-07-01,SH603269,245700,1813739.1157150269
2021-07-01,SH603389,386000,1813754.8713684082
2021-07-01,SH603813,138800,1813883.2511901855
2021-07-01,SZ002633,236400,1813801.3509750366
2021-07-01,SZ300478,191000,1813046.7929840088
2021-08-02,SH600455,104100,1757181.3062667847
2021-08-02,SH600561,434100,1758385.768032074
2021-08-02,SH600768,196000,1758258.373260498
2021-08-02,SH603029,180000,1758281.307220459
2021-08-02,SH603269,247300,1757784.4128131866
2021-08-02,SH603389,383700,1758391.6009426117
2021-08-02,SH603813,145900,1758335.046195984
2021-08-02,SZ000702,410700,1758385.3597640991
2021-08-02,SZ002633,241500,1758275.2811908722
2021-08-02,SZ002830,196300,1757145.9280967712
2021-09-01,SH600455,103100,1962626.4728546143
2021-09-01,SH600768,214600,1963421.6888427734
2021-09-01,SH603029,182200,1964017.6034927368
2021-09-01,SH603269,242400,1963766.7366027832
2021-09-01,SH603709,120300,1962891.2063598633
2021-09-01,SH603813,147700,1963588.8278007507
2021-09-01,SZ000702,431500,1963856.13656044
2021-09-01,SZ002633,244200,1963619.9747085571
2021-09-01,SZ002836,357600,1964119.6437835693
2021-09-01,SZ300478,207100,1959659.7727775574
2021-10-08,SH600455,98600,1877109.5737457275
2021-10-08,SH600520,241000,1877765.8867835999
2021-10-08,SH600768,224900,1877601.7285346985
2021-10-08,SH603029,191900,1878127.6220321655
2021-10-08,SH603709,118300,1877691.7536735535
2021-10-08,SH603813,145100,1877341.8141365051
2021-10-08,SZ000702,415500,1878094.0697193146
2021-10-08,SZ002209,285100,1878360.012960434
2021-10-08,SZ002633,249400,1877951.2512207031
2021-10-08,SZ002836,19600,105744.02770996094
2021-10-08,SZ300478,212100,1770871.0364341736
2021-11-01,SH600455,99600,1827415.7341003418
2021-11-01,SH600520,250400,1828367.5590515137
2021-11-01,SH600768,220500,1827987.048625946
2021-11-01,SH603029,199200,1828649.9816894531
2021-11-01,SH603709,121700,1827768.4350013733
2021-11-01,SH603813,146500,1827691.7819976807
2021-11-01,SZ000702,417500,1828530.0028324127
2021-11-01,SZ002209,312600,1828478.4811019897
2021-11-01,SZ002633,254300,1828628.491449356
2021-11-01,SZ002830,208000,1827864.5477294922
2021-12-01,SH600561,444300,2052794.123697281
2021-12-01,SH600768,217200,2052509.5092773438
2021-12-01,SH600778,485300,2052916.4324760437
2021-12-01,SH603029,200200,2052457.2443008423
2021-12-01,SH603709,128300,2052574.3747711182
2021-12-01,SH603813,151400,2051874.0217208862
2021-12-01,SZ000702,429600,2052815.160369873
2021-12-01,SZ002209,326900,2052994.4198131561
2021-12-01,SZ002633,262100,2052741.1463737488
2021-12-01,SZ300478,203200,2045968.1396484375
2022-01-04,SH600520,251200,2203351.597595215
2022-01-04,SH600768,230500,2203655.275821686
2022-01-04,SH600778,489800,2203461.92817688
2022-01-04,SH603029,203400,2203811.4629745483
2022-01-04,SH603389,416400,2203842.27848053
2022-01-04,SH603709,130200,2203359.246826172
2022-01-04,SZ000702,440800,2203882.0835113525
2022-01-04,SZ002209,319300,2203468.753004074
2022-01-04,SZ002633,257500,2203652.4844169617
2022-01-04,SZ300478,215900,2197869.478225708
2022-02-07,SH600768,237400,2165213.39969635
2022-02-07,SH603029,202400,2165841.3291931152
2022-02-07,SH603389,419800,2165695.119667053
